# ell  C_l  D_l[muK^2]
     2  1.308711e-05  9.283412e+07
     4  1.713121e-06  4.050703e+07
     6  4.293685e-07  2.132024e+07
     8  1.358900e-07  1.156731e+07
    10  6.935304e-08  9.019256e+06
    12  2.289970e-08  4.223445e+06
    14  1.901930e-08  4.722005e+06
    16  7.271553e-09  2.338345e+06
    18  4.136882e-09  1.672676e+06
    20  4.425910e-09  2.197680e+06
    22  1.605795e-09  9.606236e+05
    24  7.247807e-10  5.141270e+05
    26  1.207246e-09  1.001948e+06
    28  8.222771e-10  7.893811e+05
    30  2.908977e-10  3.198422e+05
    35  3.194933e-10  4.759318e+05
    40  6.908552e-11  1.339502e+05
    45  4.680821e-11  1.145526e+05
    50  2.201015e-11  6.635532e+04
    55  6.695743e-12  2.438159e+04
    60  4.479038e-12  1.938110e+04
    65  2.455842e-12  1.245576e+04
    70  3.686249e-13  2.165976e+03
    75  3.985574e-13  2.685829e+03
    80  1.727004e-13  1.323064e+03
    85  2.982711e-13  2.577751e+03
    90  3.064345e-13  2.967113e+03
    95  3.768362e-13  4.063123e+03
   100  9.058610e-14  1.081672e+03
   110  3.305992e-13  4.772325e+03
   120  3.776712e-14  6.483253e+02
   130  1.971439e-13  3.969268e+03
   140  4.292911e-13  1.001870e+04
   150  2.087081e-14  5.588820e+02
   160  1.476454e-14  4.496537e+02
   170  2.301278e-14  7.909093e+02
   180  1.609958e-14  6.201233e+02
   190  1.120164e-14  4.805968e+02
   200  1.002858e-14  4.766264e+02
   210  7.546901e-15  3.953511e+02
   220  5.466375e-14  3.142150e+03
   230  1.713535e-14  1.076330e+03
   240  8.099684e-14  5.538713e+03
   250  2.675615e-14  1.984951e+03
   260  2.907625e-14  2.332732e+03
   270  1.988516e-14  1.720183e+03
   280  1.944608e-15  1.808876e+02
   290  3.937520e-14  3.928495e+03
   300  4.930245e-14  5.263429e+03
   310  7.442637e-14  8.483233e+03
   320  1.722126e-14  2.091378e+03
   330  5.833985e-15  7.533898e+02
   340  5.721949e-15  7.843137e+02
   350  3.140652e-15  4.561497e+02
   360  1.605540e-15  2.466853e+02
   370  7.321584e-15  1.188210e+03
   380  6.035714e-16  1.033118e+02
   390  5.448668e-15  9.823001e+02
   400  1.394551e-15  2.644547e+02
   410  4.121384e-15  8.210720e+02
   420  4.340096e-15  9.072839e+02
   430  5.991423e-15  1.312769e+03
   440  6.096383e-15  1.398544e+03
   450  5.532731e-15  1.327520e+03
   460  8.470502e-16  2.123638e+02
   470  5.413322e-15  1.416756e+03
   480  5.683392e-15  1.551338e+03
   490  8.909909e-15  2.534331e+03
   500  2.772325e-15  8.210401e+02
   520  2.960846e-15  9.483517e+02
   540  3.639367e-15  1.256983e+03
   560  8.028790e-16  2.982040e+02
   580  1.815441e-15  7.232674e+02
   600  7.491633e-16  3.193851e+02
   620  1.314025e-15  5.981353e+02
   640  1.908964e-15  9.258663e+02
   660  1.550974e-15  7.999494e+02
   680  7.585284e-16  4.152794e+02
   700  2.433579e-15  1.411803e+03
   720  1.033430e-15  6.342515e+02
   740  6.480367e-16  4.201090e+02
   760  1.609409e-15  1.100467e+03
   780  1.567771e-15  1.129122e+03
   800  2.878417e-15  2.180664e+03
   820  2.781541e-15  2.213884e+03
   840  6.985015e-16  5.833848e+02
   860  3.220197e-15  2.819009e+03
   880  3.097277e-15  2.838907e+03
   900  7.826216e-15  7.502943e+03
   920  9.967009e-16  9.984466e+02
   940  5.268447e-16  5.509505e+02
   960  5.601846e-16  6.109959e+02
   980  1.015369e-15  1.154068e+03
  1000  9.065203e-16  1.072813e+03
