distance,physical_error_rate,ler_uniform,ler_informed,improvement_factor
3,0.001,0.00220000,0.00202000,1.0891
3,0.002,0.00602000,0.00608000,0.9901
3,0.005,0.03764000,0.04050000,0.9294
3,0.007,0.07406000,0.07714000,0.9601
3,0.01,0.10708000,0.09934000,1.0779
3,0.015,0.21982000,0.22034000,0.9976
3,0.02,0.26014000,0.25408000,1.0239
5,0.001,0.00050000,0.00058000,0.8621
5,0.002,0.00464000,0.00378000,1.2275
5,0.005,0.05268000,0.04924000,1.0699
5,0.007,0.13966000,0.11662000,1.1976
5,0.01,0.26376000,0.25814000,1.0218
5,0.015,0.38222000,0.36908000,1.0356
5,0.02,0.44950000,0.43706000,1.0285
7,0.001,0.00016000,0.00006000,2.6667
7,0.002,0.00304000,0.00228000,1.3333
7,0.005,0.06138000,0.04514000,1.3598
7,0.007,0.12700000,0.11908000,1.0665
7,0.01,0.32316000,0.29768000,1.0856
7,0.015,0.45424000,0.43508000,1.0440
7,0.02,0.49858000,0.48704000,1.0237
