epoch_idx,stage,tau,sigma_schnakenberg,sigma_multiscale,sigma_neural
0,W,0.005711,0.002369,0.011485,0.367617
1,W,0.022904,0.000486,0.012048,0.396329
2,W,0.076072,0.003834,0.008429,0.471768
3,W,0.019351,0.001393,0.018070,0.651390
4,W,0.013096,0.003955,0.012067,0.155612
5,W,0.012841,0.000156,0.008773,0.303436
6,W,0.025796,0.000401,0.013668,0.471019
7,W,0.003951,0.005533,0.050053,0.485303
8,W,0.008008,0.000235,0.024051,0.154488
9,W,0.064517,0.000091,0.009325,0.146141
10,W,0.012945,0.001574,0.039695,0.623838
11,W,0.045946,0.000762,0.011838,0.605056
12,W,0.009294,0.003568,0.024170,0.625598
13,W,0.022781,0.002341,0.007066,0.640014
14,W,0.005266,0.002811,0.009797,0.394007
15,W,0.024237,0.003262,0.010991,1.049676
16,W,0.009397,0.004238,0.036029,0.346996
17,W,0.003708,0.002354,0.012997,0.497770
18,W,0.018291,0.000738,0.022400,0.556859
19,W,0.072705,0.001047,0.010036,0.190279
20,W,0.286402,0.001404,0.006788,0.211626
21,W,0.033666,0.001552,0.015915,1.112272
22,W,0.003381,0.001858,0.011909,0.709615
23,W,0.017406,0.000446,0.012524,0.383821
24,W,0.026767,0.002370,0.022553,1.005983
25,W,0.013312,0.002762,0.009753,0.171573
26,W,0.002915,0.000573,0.006420,0.333069
27,W,0.007313,0.000529,0.024932,0.900791
28,W,0.019018,0.004225,0.016006,0.578270
29,W,0.023651,0.000858,0.022620,0.654982
30,W,0.136397,0.000385,0.033198,0.799972
31,W,0.008807,0.000219,0.012067,0.601199
32,W,0.063264,0.001787,0.027000,0.600482
33,W,0.009671,0.001919,0.006314,1.114348
34,W,0.005082,0.000868,0.011065,0.601165
35,W,0.004095,0.003490,0.009994,0.554013
36,W,0.098045,0.000413,0.007408,0.466624
37,W,0.035139,0.000224,0.010646,0.600944
38,W,0.226808,0.000323,0.009257,0.527265
39,W,0.028916,0.004875,0.010560,1.353537
40,W,0.006260,0.001412,0.011128,0.244388
41,W,0.069572,0.001741,0.017168,0.552844
42,W,0.014051,0.001370,0.023936,0.641143
43,W,0.009511,0.000736,0.003397,0.437484
44,W,0.081325,0.005218,0.015847,0.455196
45,W,0.030884,0.001651,0.019699,0.354126
46,W,0.016948,0.001769,0.005832,0.452560
47,W,0.035714,0.000666,0.005151,0.493791
48,W,0.186785,0.001741,0.014338,1.005974
49,W,0.007766,0.001571,0.017220,0.618767
50,W,0.013507,0.000772,0.009360,0.669488
51,W,0.006042,0.000556,0.010327,0.823345
52,W,0.011632,0.001532,0.011301,1.150357
53,W,0.005970,0.003184,0.013658,0.991647
54,W,0.149101,0.000618,0.015015,0.294533
55,W,0.053024,0.000966,0.008449,0.578699
56,W,0.028302,0.005171,0.009154,0.741181
57,W,0.038914,0.000972,0.012777,0.380161
58,W,0.009542,0.000593,0.016405,0.225784
59,W,0.032332,0.001231,0.007167,0.550259
60,W,0.011452,0.006685,0.011122,0.427955
61,W,0.014867,0.001846,0.014723,1.104057
62,W,0.037202,0.001413,0.007087,0.472147
63,W,0.007465,0.002426,0.004023,0.259457
64,W,0.003642,0.001422,0.003261,0.344965
65,W,0.035246,0.000333,0.001509,0.427880
66,W,0.019348,0.000036,0.009120,0.975382
67,W,0.067727,0.001840,0.004397,0.366944
68,W,0.028238,0.002527,0.024118,0.717505
69,W,0.026617,0.002606,0.006980,0.737694
70,W,0.022526,0.001566,0.017233,0.815974
71,W,0.017322,0.003221,0.014922,0.677634
72,W,0.005269,0.002983,0.010233,0.755870
73,W,0.004941,0.002354,0.013080,0.376602
74,W,0.078562,0.001120,0.013552,0.703443
75,W,0.010082,0.003828,0.011525,0.731341
76,W,0.007011,0.001799,0.006513,0.773882
77,W,0.006629,0.000551,0.008095,1.066498
78,W,0.024565,0.000799,0.010131,0.402406
79,W,0.037200,0.001415,0.017019,0.409835
80,W,0.013607,0.003433,0.025880,0.403066
81,W,0.045567,0.004858,0.008182,0.400652
82,W,0.009622,0.000675,0.003914,0.601066
83,W,0.002495,0.000133,0.016587,1.124512
84,W,0.007333,0.001803,0.013191,0.266254
85,W,0.010231,0.001702,0.006978,0.798859
86,W,0.010807,0.002950,0.013327,0.474092
87,W,0.021194,0.001322,0.013106,0.524231
88,W,0.115551,0.000529,0.006207,0.445052
89,W,0.047918,0.001940,0.015560,0.975124
90,W,0.016140,0.000164,0.012528,0.303797
91,W,0.006561,0.000010,0.014463,0.376786
92,W,0.003282,0.004591,0.008421,0.359864
93,W,0.009194,0.000392,0.002796,1.279765
94,W,0.004594,0.000828,0.011933,1.003627
95,W,0.003457,0.000577,0.019848,0.275073
96,W,0.005178,0.002419,0.015535,0.550607
97,W,0.004655,0.001632,0.029762,0.820295
98,W,0.010042,0.004598,0.008037,0.463979
99,W,0.058852,0.001860,0.010174,0.365410
100,W,0.048667,0.001280,0.012172,0.881581
101,W,0.003883,0.001245,0.005435,0.938476
102,W,0.009964,0.001114,0.007913,0.378747
103,W,0.030268,0.001749,0.009641,0.533490
104,W,0.027079,0.003643,0.018983,0.744760
105,W,0.029498,0.000895,0.025941,0.542202
106,W,0.012052,0.000653,0.009290,0.352109
107,W,0.019479,0.000169,0.027017,1.071674
108,W,0.033296,0.003027,0.015167,0.658051
109,W,0.011951,0.000315,0.019742,0.722225
110,W,0.132798,0.000290,0.005917,0.209674
111,W,0.019976,0.000515,0.022513,0.293245
112,W,0.015870,0.001292,0.004058,0.399863
113,W,0.004394,0.000151,0.039881,0.184568
114,W,0.018836,0.000022,0.011891,0.144905
115,W,0.006951,0.003741,0.025761,0.684684
116,W,0.012687,0.004147,0.041917,0.478863
117,W,0.020190,0.002860,0.011592,0.577308
118,W,0.010502,0.001230,0.017614,0.606226
119,W,0.029326,0.002432,0.085565,0.525997
120,W,0.005153,0.002123,0.008847,0.798619
121,W,0.020157,0.005209,0.009168,0.260513
122,W,0.016294,0.001708,0.073297,0.420965
123,W,0.002178,0.001100,0.005458,1.157441
124,W,0.009475,0.000366,0.028650,0.715782
125,W,0.026127,0.007168,0.052659,0.511435
126,W,0.008497,0.001016,0.024069,1.189223
127,W,0.006466,0.001162,0.006248,0.512781
128,W,0.013425,0.002117,0.035506,0.733930
129,W,0.004640,0.003210,0.034327,0.448905
130,W,0.030072,0.001764,0.031533,0.137734
131,W,0.025104,0.001176,0.023986,0.369213
132,W,0.013317,0.000034,0.012051,1.187841
133,W,0.010420,0.000857,0.017355,0.248588
134,W,0.007282,0.002914,0.026053,0.662117
135,W,0.026012,0.001827,0.018949,0.391587
136,W,0.006136,0.000693,0.017448,0.667534
137,W,0.005753,0.000804,0.013588,0.629637
138,W,0.007249,0.000393,0.009878,0.441344
139,W,0.003485,0.002227,0.033328,0.545192
140,W,0.022497,0.000053,0.017754,0.610816
141,W,0.002986,0.000205,0.005039,0.472500
142,W,0.021971,0.001607,0.024704,0.475865
143,W,0.014800,0.002531,0.019344,1.053594
144,W,0.010082,0.002912,0.031711,0.160008
145,W,0.012555,0.004074,0.043202,0.567466
146,W,0.019997,0.000201,0.041294,0.140977
147,W,0.019316,0.005194,0.038594,0.587540
148,W,0.010739,0.003237,0.018663,0.838101
149,W,0.005758,0.001936,0.021001,0.328359
150,W,0.083201,0.001200,0.011745,0.328627
151,W,0.015800,0.000071,0.005933,0.467992
152,W,0.016307,0.000910,0.022610,0.471577
153,W,0.041051,0.000340,0.009111,0.584190
154,W,0.006855,0.004423,0.009803,0.515961
155,W,0.007682,0.004591,0.010430,0.353086
156,W,0.008019,0.002323,0.018188,0.675413
157,W,0.049454,0.002986,0.013608,0.818106
158,W,0.006782,0.002639,0.028325,1.150879
159,W,0.009767,0.000357,0.009553,0.655121
160,W,0.006336,0.001201,0.007996,0.527778
161,W,0.019650,0.001114,0.007476,0.717307
162,W,0.008914,0.000439,0.022999,0.363676
163,W,0.004691,0.000893,0.014208,0.588988
164,W,0.014349,0.001119,0.014006,0.695592
165,W,0.091922,0.001381,0.006879,1.090390
166,W,0.017986,0.000828,0.005132,0.443225
167,W,0.023143,0.001253,0.030192,0.470353
168,W,0.009422,0.000137,0.018897,0.806600
169,W,0.008139,0.002841,0.006583,0.595562
170,W,0.022538,0.000217,0.017776,1.180110
171,W,0.059243,0.001419,0.006223,0.829542
172,W,0.024741,0.000284,0.017138,1.116489
173,W,0.024240,0.000724,0.013966,0.788287
174,W,0.002486,0.000839,0.004701,0.429216
175,W,0.009657,0.002440,0.007604,0.713034
176,W,0.010463,0.001062,0.010038,0.591691
177,W,0.005164,0.000255,0.006543,0.619918
178,W,0.016657,0.004093,0.017280,0.382809
179,W,0.115980,0.002130,0.009645,0.800538
180,W,0.032224,0.000165,0.003727,0.549221
181,W,0.016106,0.001322,0.004863,0.209819
182,W,0.098894,0.003814,0.017663,0.247269
183,W,0.009661,0.000642,0.011988,1.074974
184,W,0.002923,0.001661,0.007410,0.984157
185,W,0.036523,0.002015,0.025376,0.580607
186,W,0.008272,0.000136,0.012171,0.623057
187,W,0.012292,0.001608,0.009240,1.366743
188,W,0.005586,0.000842,0.002633,0.494266
189,W,0.013138,0.001001,0.010378,0.772375
190,W,0.012263,0.000453,0.005231,0.833404
191,W,0.010426,0.000941,0.014184,0.538464
192,W,0.005261,0.000566,0.017551,1.592438
193,W,0.008370,0.000710,0.006640,1.340421
194,W,0.028930,0.000658,0.016570,0.540104
195,W,0.002827,0.001382,0.030674,0.560636
196,W,0.030769,0.002974,0.029424,0.905477
197,W,0.014282,0.001926,0.021266,0.541148
198,W,0.004790,0.003281,0.018188,0.762733
199,W,0.002294,0.001573,0.008705,0.824243
200,W,0.005094,0.002948,0.017203,0.857245
201,W,0.005083,0.002052,0.037592,0.560890
202,W,0.011910,0.000690,0.011001,0.295548
203,W,0.006080,0.001227,0.008826,0.497446
204,W,0.021466,0.002004,0.011048,0.522348
205,W,0.045242,0.002583,0.017909,0.754784
206,W,0.054759,0.001270,0.024632,1.163846
207,W,0.009301,0.000823,0.029586,0.498374
208,W,0.015200,0.000120,0.021024,1.325781
209,W,0.008139,0.000480,0.009286,0.543884
210,W,0.022241,0.003952,0.024372,0.332660
211,W,0.017153,0.002811,0.023384,0.985935
212,W,0.009935,0.002799,0.007293,0.425129
213,W,0.017090,0.001294,0.007506,0.488220
214,W,0.006923,0.000550,0.010872,0.566746
215,W,0.094684,0.001694,0.006923,0.292125
216,W,0.005761,0.001325,0.018200,1.051656
217,W,0.036493,0.001054,0.014545,0.913568
218,W,0.005840,0.001213,0.040670,0.456502
219,W,0.017031,0.002092,0.027111,0.395277
220,W,0.014976,0.001663,0.015707,0.986512
221,W,0.057222,0.000422,0.003237,0.414991
222,W,0.010105,0.001933,0.003791,0.727158
223,W,0.047954,0.004204,0.012783,1.363950
224,W,0.063331,0.001328,0.010267,1.165476
225,W,0.006182,0.000728,0.018017,0.560019
226,W,0.015963,0.001831,0.016363,0.640135
227,W,0.004110,0.002826,0.046195,1.034531
228,W,0.044168,0.001212,0.027788,1.385889
229,W,0.012269,0.002253,0.009484,0.705327
230,W,0.008417,0.000200,0.017531,0.589004
231,W,0.004003,0.000495,0.039856,0.913627
232,W,0.035751,0.000615,0.009706,0.380587
233,W,0.009102,0.001258,0.014601,1.080283
234,W,0.010098,0.000795,0.006624,0.975260
235,W,0.005589,0.002478,0.020388,0.503364
236,W,0.039716,0.005657,0.011853,1.663167
