stage,sigma,tau
Wake,0.237669,0.114726
Wake,0.256230,0.249530
Wake,0.172769,0.118977
Wake,0.015741,0.169341
Wake,0.549813,0.216269
Wake,0.182481,0.179758
Wake,0.109460,0.196961
Wake,0.132067,0.062786
Wake,0.113010,0.207740
Wake,0.051420,0.183001
Wake,0.070761,0.086066
Wake,0.028327,0.153201
Wake,0.098125,0.080901
Wake,0.049068,0.211789
Wake,0.006314,0.142050
Wake,0.008417,0.139947
Wake,0.006650,0.162870
Wake,0.011738,0.142378
Wake,0.124258,0.124492
Wake,0.098117,0.244175
Wake,0.103930,0.098944
Wake,0.053317,0.194109
Wake,0.066903,0.200166
Wake,0.349242,0.354316
Wake,0.018313,0.146451
Wake,0.061640,0.112746
Wake,0.121525,0.124955
Wake,0.076726,0.280075
Wake,0.049052,0.193463
Wake,0.023522,0.119725
Wake,0.134876,0.124305
Wake,0.147179,0.305986
Wake,0.029973,0.142187
Wake,0.025462,0.184249
Wake,0.074131,0.213482
Wake,0.071056,0.113739
Wake,0.042245,0.184837
Wake,0.232912,0.096328
Wake,0.109977,0.297385
Wake,0.038797,0.185530
Wake,0.008387,0.129073
Wake,0.009361,0.122863
Wake,0.073051,0.085521
Wake,0.006012,0.178814
Wake,0.063119,0.138873
Wake,0.018688,0.219943
Wake,0.053631,0.239961
Wake,0.112963,0.248797
Wake,0.014897,0.116483
Wake,0.026294,0.123076
Wake,0.048484,0.201322
Wake,0.034119,0.118391
Wake,0.009410,0.179239
Wake,0.040079,0.167450
Wake,0.042029,0.248678
Wake,0.058519,0.150497
Wake,0.148812,0.189241
Wake,0.025211,0.339211
Wake,0.306623,0.386936
Wake,0.049963,0.130477
Wake,0.048814,0.226938
Wake,0.117810,0.124913
Wake,0.185100,0.306465
Wake,0.013012,0.146480
Wake,0.053535,0.104111
Wake,0.031733,0.190755
Wake,0.020523,0.139053
Wake,0.058601,0.138527
Wake,0.045327,0.139278
Wake,0.056833,0.190430
Wake,0.012019,0.123058
Wake,0.052431,0.130323
Wake,0.038908,0.121227
Wake,0.018976,0.188358
Wake,0.065599,0.118410
Wake,0.014648,0.220584
Wake,0.041413,0.202026
Wake,0.055485,0.131624
Wake,0.126851,0.141274
Wake,0.102487,0.319058
Wake,0.013024,0.195510
Wake,0.081584,0.214545
Wake,0.021895,0.112118
Wake,0.022230,0.153502
Wake,0.019745,0.128145
Wake,0.033480,0.173869
Wake,0.067800,0.093721
Wake,0.029800,0.195588
Wake,0.048505,0.171659
Wake,0.102339,0.097290
Wake,0.038087,0.226664
Wake,0.015055,0.173590
Wake,0.026928,0.130999
Wake,0.010026,0.166902
Wake,0.019974,0.183466
Wake,0.055226,0.163205
Wake,0.011736,0.111744
Wake,0.036364,0.141319
Wake,0.013409,0.178484
Wake,0.046702,0.180001
Wake,0.097331,0.078495
Wake,0.092768,0.190860
Wake,0.026643,0.099527
Wake,0.039247,0.160720
Wake,0.080198,0.108291
Wake,0.058870,0.164591
Wake,0.059475,0.078282
Wake,0.104214,0.066463
Wake,0.038981,0.184172
Wake,0.043932,0.107764
Wake,0.081129,0.194407
Wake,0.040267,0.140405
Wake,0.007929,0.104869
Wake,0.146738,0.098948
Wake,0.166585,0.167662
Wake,0.070445,0.149126
Wake,0.033408,0.202322
Wake,0.038962,0.159861
Wake,0.043674,0.092807
Wake,0.085762,0.121388
Wake,0.019858,0.168426
Wake,0.136114,0.251678
Wake,0.019950,0.117184
Wake,0.026857,0.132482
Wake,0.027570,0.187616
Wake,0.029655,0.171081
Wake,0.061985,0.093506
Wake,0.141361,0.212154
Wake,0.097519,0.073288
Wake,0.022089,0.136598
Wake,0.025847,0.095664
Wake,0.022785,0.113471
Wake,0.035216,0.137158
Wake,0.071816,0.209063
Wake,0.030533,0.140907
Wake,0.023596,0.147337
Wake,0.064193,0.085162
Wake,0.041364,0.162478
Wake,0.019710,0.135641
Wake,0.031639,0.200558
Wake,0.017997,0.126199
Wake,0.007634,0.155157
Wake,0.007512,0.153746
Wake,0.009153,0.135106
Wake,0.005408,0.160630
Wake,0.015395,0.145587
Wake,0.011254,0.159416
Wake,0.024374,0.173254
Wake,0.016792,0.151759
Wake,0.068806,0.179527
Wake,0.032396,0.136794
Wake,0.081672,0.136231
Wake,0.035544,0.221569
Wake,0.110674,0.296081
Wake,0.018335,0.170555
Wake,0.028070,0.189914
Wake,0.034619,0.131545
Wake,0.027420,0.175746
Wake,0.015519,0.213626
Wake,0.024748,0.199799
Wake,0.014091,0.163107
Wake,0.011313,0.195101
Wake,0.041917,0.208692
Wake,0.007936,0.174372
Wake,0.007091,0.160170
Wake,0.044095,0.157057
Wake,0.032074,0.212380
Wake,0.012729,0.223164
Wake,0.111126,0.251956
Wake,0.031139,0.145290
Wake,0.007486,0.184014
Wake,0.062769,0.159543
Wake,0.095919,0.279257
Wake,0.046797,0.163951
Wake,0.034198,0.118779
Wake,0.057357,0.208252
Wake,0.016019,0.154538
Wake,0.013536,0.140952
Wake,0.160532,0.100799
Wake,0.050500,0.259193
Wake,0.045096,0.284140
Wake,0.032735,0.203702
Wake,0.082180,0.247383
Wake,0.022349,0.150935
Wake,0.040796,0.206378
Wake,0.024141,0.162169
Wake,0.011528,0.143427
Wake,0.083032,0.105359
Wake,0.026511,0.205226
Wake,0.033796,0.181364
Wake,0.004400,0.127270
Wake,0.005290,0.135390
Wake,0.023733,0.129655
Wake,0.068438,0.192917
Wake,0.059609,0.118323
Wake,0.109951,0.073621
Wake,0.016988,0.163057
Wake,0.017214,0.185112
Wake,0.054018,0.204679
Wake,0.067138,0.162706
Wake,0.118634,0.063676
Wake,0.073118,0.178805
Wake,0.019932,0.148755
Wake,0.034079,0.158885
Wake,0.015544,0.220099
Wake,0.041914,0.246181
Wake,0.086127,0.199241
Wake,0.046376,0.127471
Wake,0.014513,0.194935
Wake,0.016177,0.187922
Wake,0.011699,0.180680
Wake,0.038625,0.138868
Wake,0.005817,0.168515
Wake,0.021096,0.172536
Wake,0.091691,0.149558
Wake,0.043907,0.290771
Wake,0.035264,0.230043
