# ell  C_l^EE  D_l^EE[muK^2]
     2  3.06384791e-22  2.17335644e-09
     3  7.57580765e-22  1.07478771e-08
     4  1.34938947e-21  3.19065477e-08
     5  2.08084513e-21  7.38029153e-08
     6  2.95004959e-21  1.46484310e-07
     7  3.95506151e-21  2.61850721e-07
     8  5.09405771e-21  4.33619557e-07
     9  6.36460471e-21  6.77214814e-07
    10  7.76574769e-21  1.00992347e-06
    11  9.29314962e-21  1.45027167e-06
    12  1.09489229e-20  2.01933559e-06
    13  1.27235064e-20  2.73773056e-06
    14  1.46266470e-20  3.63142083e-06
    15  1.66376701e-20  4.72080710e-06
    16  1.87810356e-20  6.03949944e-06
    17  2.10171795e-20  7.60340920e-06
    18  2.33928745e-20  9.45849855e-06
    19  2.58437493e-20  1.16105186e-05
    20  2.84409769e-20  1.41223283e-05
    21  3.10997227e-20  1.69867775e-05
    22  3.39020620e-20  2.02809893e-05
    23  3.67682622e-20  2.39952173e-05
    24  3.97514471e-20  2.81978956e-05
    25  4.28315672e-20  3.29146944e-05
    26  4.59659355e-20  3.81492250e-05
    27  4.92671681e-20  4.40343814e-05
    28  5.25283244e-20  5.04268780e-05
    29  5.60435868e-20  5.76444738e-05
    30  5.94310206e-20  6.53444402e-05
    32  6.66726702e-20  8.32385050e-05
    34  7.42426976e-20  1.04451146e-04
    36  8.20981669e-20  1.29285610e-04
    38  9.01546218e-20  1.57960574e-04
    40  9.83176666e-20  1.90628537e-04
    42  1.06563093e-19  2.27529163e-04
    44  1.14997738e-19  2.69195002e-04
    46  1.23793253e-19  3.16420905e-04
    48  1.32967888e-19  3.69740131e-04
    50  1.42218481e-19  4.28754529e-04
    52  1.51119074e-19  4.92392014e-04
    54  1.59668696e-19  5.60646006e-04
    56  1.68510481e-19  6.35919740e-04
    58  1.78178775e-19  7.20855936e-04
    60  1.88069296e-19  8.13788389e-04
    62  1.96917182e-19  9.09344314e-04
    64  2.04821410e-19  1.00735184e-03
    66  2.13639426e-19  1.11689577e-03
    68  2.23960521e-19  1.24234431e-03
    70  2.33323249e-19  1.37096671e-03
    72  2.40299458e-19  1.49320918e-03
    74  2.47989859e-19  1.62719428e-03
    76  2.58416031e-19  1.78787139e-03
    78  2.67349634e-19  1.94766290e-03
    80  2.72639505e-19  2.08870110e-03
    82  2.80185461e-19  2.25449898e-03
    84  2.91027162e-19  2.45665539e-03
    86  2.97282250e-19  2.62965750e-03
    88  3.01044009e-19  2.78750190e-03
    90  3.10854733e-19  3.00991263e-03
    92  3.19076986e-19  3.22759297e-03
    94  3.20555752e-19  3.38428974e-03
    96  3.28293897e-19  3.61425076e-03
    98  3.37910441e-19  3.87592518e-03
   100  3.37748520e-19  4.03299174e-03
   104  3.53099855e-19  4.55861255e-03
   108  3.57149757e-19  4.97064923e-03
   112  3.60768594e-19  5.39805984e-03
   116  3.72615139e-19  5.97883890e-03
   120  3.78763650e-19  6.50200672e-03
   124  3.74484412e-19  6.86243032e-03
   128  3.73115971e-19  7.28376665e-03
   132  3.76473368e-19  7.81398073e-03
   136  3.81030022e-19  8.39326964e-03
   140  3.78961476e-19  8.84412181e-03
   144  3.71789716e-19  9.17783766e-03
   148  3.61395520e-19  9.42200331e-03
   152  3.52186673e-19  9.68323432e-03
   156  3.42666936e-19  9.92222238e-03
   160  3.35445080e-19  1.02159743e-02
   164  3.25173436e-19  1.04029223e-02
   168  3.17713585e-19  1.06645928e-02
   172  3.04920927e-19  1.07269013e-02
   176  2.95228877e-19  1.08731974e-02
   180  2.81339791e-19  1.08366425e-02
   184  2.67510417e-19  1.07657119e-02
   188  2.55922806e-19  1.07508090e-02
   192  2.38322031e-19  1.04408350e-02
   196  2.26907429e-19  1.03581815e-02
   200  2.14741334e-19  1.02059681e-02
   204  1.97803816e-19  9.77982760e-03
   208  1.89644429e-19  9.74680360e-03
   212  1.78441328e-19  9.52628158e-03
   216  1.60739998e-19  8.90737936e-03
   220  1.49542028e-19  8.59588754e-03
   224  1.40777300e-19  8.38833317e-03
   228  1.24832217e-19  7.70565425e-03
   232  1.10830557e-19  7.08297854e-03
   236  1.07016311e-19  7.07657035e-03
   240  1.01180674e-19  6.91892078e-03
   244  8.62255785e-20  6.09402921e-03
   248  7.49715084e-20  5.47343268e-03
   252  7.23919521e-20  5.45662180e-03
   256  7.44432372e-20  5.79043037e-03
   260  6.87487708e-20  5.51558138e-03
   264  5.77536599e-20  4.77685233e-03
   268  4.95169055e-20  4.22039476e-03
   272  5.28685025e-20  4.64131521e-03
   276  6.23818711e-20  5.63845025e-03
   280  6.28864578e-20  5.84970531e-03
   284  6.06093200e-20  5.79982802e-03
   288  6.46903319e-20  6.36564205e-03
   292  6.14017073e-20  6.21074107e-03
   296  5.14891400e-20  5.35150953e-03
   300  7.07782649e-20  7.55614297e-03
   304  8.35673302e-20  9.16056909e-03
   308  7.69396231e-20  8.65708645e-03
   312  1.05835368e-19  1.22191856e-02
   316  1.19275968e-19  1.41257592e-02
   320  1.02770231e-19  1.24805823e-02
   324  1.41336060e-19  1.75951858e-02
   328  1.36924021e-19  1.74687525e-02
   332  1.25085335e-19  1.63493773e-02
   336  1.76624348e-19  2.36446154e-02
   340  1.38445852e-19  1.89769210e-02
   344  1.72930792e-19  2.42639987e-02
   348  1.90838361e-19  2.74020373e-02
   352  1.58413889e-19  2.32714331e-02
   356  2.32112954e-19  3.48762754e-02
   360  1.75339736e-19  2.69403080e-02
   364  2.36063517e-19  3.70796500e-02
   368  2.26899028e-19  3.64266577e-02
   372  2.22044047e-19  3.64253229e-02
   376  2.78619814e-19  4.66932064e-02
   380  2.14723046e-19  3.67535874e-02
   384  3.12154931e-19  5.45600373e-02
   388  2.27711888e-19  4.06330606e-02
   392  3.20386128e-19  5.83532200e-02
   396  2.42120082e-19  4.50017093e-02
   400  3.12230567e-19  5.92096216e-02
   404  2.56614716e-19  4.96398490e-02
   408  3.02831494e-19  5.97443740e-02
   412  2.72041376e-19  5.47261297e-02
   416  2.91530992e-19  5.97897339e-02
