# ell  C_l^EE  D_l^EE[muK^2]
     2  2.58327864e-22  1.83246213e-09
     3  6.38926139e-22  9.06451155e-09
     4  1.13812237e-21  2.69111006e-08
     5  1.75650228e-21  6.22992010e-08
     6  2.48841980e-21  1.23562146e-07
     7  3.34412037e-21  2.21402455e-07
     8  4.29507515e-21  3.65608065e-07
     9  5.39497697e-21  5.74043242e-07
    10  6.54285365e-21  8.50887993e-07
    11  7.89768381e-21  1.23249787e-06
    12  9.22828218e-21  1.70199378e-06
    13  1.08184529e-20  2.32781815e-06
    14  1.23781649e-20  3.07318047e-06
    15  1.40918473e-20  3.99845005e-06
    16  1.60327184e-20  5.15571108e-06
    17  1.76815349e-20  6.39666922e-06
    18  2.01323483e-20  8.14016194e-06
    19  2.17269198e-20  9.76099888e-06
    20  2.44005695e-20  1.21160696e-05
    21  2.65241780e-20  1.44875989e-05
    22  2.86131532e-20  1.71170430e-05
    23  3.19678876e-20  2.08624602e-05
    24  3.33030023e-20  2.36236578e-05
    25  3.70852727e-20  2.84988502e-05
    26  3.94519399e-20  3.27429631e-05
    27  4.14831917e-20  3.70771602e-05
    28  4.61788602e-20  4.43314302e-05
    29  4.73090603e-20  4.86604453e-05
    30  5.09674734e-20  5.60387653e-05
    32  5.58152849e-20  6.96834378e-05
    34  6.53895774e-20  9.19957991e-05
    36  7.33229374e-20  1.15466655e-04
    38  7.47671430e-20  1.31000060e-04
    40  8.48426747e-20  1.64501819e-04
    42  9.68839105e-20  2.06862567e-04
    44  9.62271291e-20  2.25255407e-04
    46  1.11923560e-19  2.86081457e-04
    48  1.20007790e-19  3.33702345e-04
    50  1.16223361e-19  3.50385492e-04
    52  1.42519769e-19  4.64372856e-04
    54  1.35413809e-19  4.75479621e-04
    56  1.55675210e-19  5.87482384e-04
    58  1.58353195e-19  6.40647800e-04
    60  1.61932328e-19  7.00691983e-04
    62  1.89388223e-19  8.74576316e-04
    64  1.72351391e-19  8.47657928e-04
    66  2.07519569e-19  1.08490148e-03
    68  1.85539946e-19  1.02921933e-03
    70  2.37262309e-19  1.39411194e-03
    72  1.96146857e-19  1.21884706e-03
    74  2.49358068e-19  1.63617183e-03
    76  2.21047165e-19  1.52933198e-03
    78  2.65989956e-19  1.93775754e-03
    80  2.37370747e-19  1.81850587e-03
    82  2.76662188e-19  2.22614914e-03
    84  2.73812008e-19  2.31133665e-03
    86  2.58102607e-19  2.28308773e-03
    88  3.30194655e-19  3.05742084e-03
    90  2.48703096e-19  2.40811708e-03
    92  3.43341812e-19  3.47304152e-03
    94  2.92142822e-19  3.08431824e-03
    96  3.13619093e-19  3.45269301e-03
    98  3.58917597e-19  4.11688301e-03
   100  2.82774200e-19  3.37655369e-03
   104  3.33538507e-19  4.30607037e-03
   108  4.26654513e-19  5.93798507e-03
   112  3.81628952e-19  5.71018640e-03
   116  2.99961255e-19  4.81306268e-03
   120  4.03940366e-19  6.93420018e-03
   124  4.24005131e-19  7.76989794e-03
   128  3.19115268e-19  6.22959436e-03
   132  4.70072422e-19  9.75669770e-03
   136  4.07622870e-19  8.97905274e-03
   140  3.74540790e-19  8.74095279e-03
   144  5.11890382e-19  1.26363012e-02
   148  3.26955364e-19  8.52410822e-03
