# ell  Dl_TT  Dl_EE  Dl_TE
       2    1.962612e+02    1.724584e-02   -1.324501e-01
       3    2.344084e+02    4.017332e-02    9.505155e-01
       4    2.825635e+02    4.267098e-02    1.608250e+00
       5    2.927314e+02    3.072970e-02    1.584812e+00
       6    2.873716e+02    1.771657e-02    1.309620e+00
       7    2.770131e+02    9.363520e-03    1.012447e+00
       8    2.693784e+02    5.552509e-03    7.642101e-01
       9    2.668716e+02    4.170537e-03    5.834772e-01
      10    2.671414e+02    3.521174e-03    4.699621e-01
      11    2.698254e+02    2.969146e-03    4.109396e-01
      12    2.724719e+02    2.531421e-03    3.888511e-01
      13    2.782969e+02    2.329661e-03    3.867736e-01
      14    2.818843e+02    2.345170e-03    3.985852e-01
      15    2.917195e+02    2.464828e-03    4.169359e-01
      16    2.969018e+02    2.624796e-03    4.354768e-01
      17    3.115619e+02    2.841005e-03    4.490520e-01
      18    3.163018e+02    3.173970e-03    4.585340e-01
      19    3.331194e+02    3.686366e-03    4.709332e-01
      20    3.337641e+02    4.373585e-03    4.850426e-01
      21    3.591823e+02    5.183011e-03    5.004630e-01
      22    3.580726e+02    6.111432e-03    5.199571e-01
      23    3.874753e+02    7.168732e-03    5.321299e-01
      24    3.834148e+02    8.331416e-03    5.376099e-01
      25    4.071814e+02    9.638839e-03    5.317055e-01
      26    4.168969e+02    1.112178e-02    5.190166e-01
      27    4.316971e+02    1.271841e-02    5.115885e-01
      28    4.532632e+02    1.437493e-02    4.997969e-01
      29    4.561708e+02    1.616823e-02    4.797979e-01
      30    4.829198e+02    1.823343e-02    4.340984e-01
      32    5.212288e+02    2.289392e-02    3.506197e-01
      34    5.602894e+02    2.824478e-02    2.144306e-01
      36    5.949964e+02    3.462316e-02    5.279133e-02
      38    6.242119e+02    4.176285e-02   -1.108461e-01
      40    6.513538e+02    4.986213e-02   -3.413688e-01
      42    6.857702e+02    5.892322e-02   -6.268961e-01
      44    7.344860e+02    6.910967e-02   -9.547178e-01
      46    7.922280e+02    8.035468e-02   -1.321403e+00
      48    8.537698e+02    9.270205e-02   -1.709064e+00
      50    9.149862e+02    1.063657e-01   -2.118172e+00
      52    9.422278e+02    1.210298e-01   -2.592269e+00
      54    9.484749e+02    1.367658e-01   -3.102565e+00
      56    9.772503e+02    1.541212e-01   -3.687340e+00
      58    1.031600e+03    1.724961e-01   -4.259935e+00
      60    1.118368e+03    1.919984e-01   -4.911521e+00
      62    1.205589e+03    2.128341e-01   -5.625096e+00
      64    1.240688e+03    2.347202e-01   -6.354769e+00
      66    1.238938e+03    2.584911e-01   -7.181753e+00
      68    1.259815e+03    2.828527e-01   -7.998885e+00
      70    1.360327e+03    3.085637e-01   -8.926383e+00
      72    1.472048e+03    3.361525e-01   -9.870026e+00
      74    1.524061e+03    3.635951e-01   -1.076684e+01
      76    1.509839e+03    3.922694e-01   -1.173125e+01
      78    1.530669e+03    4.227254e-01   -1.286283e+01
      80    1.669574e+03    4.526397e-01   -1.384438e+01
      82    1.789494e+03    4.824109e-01   -1.486711e+01
      84    1.781971e+03    5.168565e-01   -1.620916e+01
      86    1.755073e+03    5.520731e-01   -1.734170e+01
      88    1.856428e+03    5.830422e-01   -1.840021e+01
      90    2.039615e+03    6.160079e-01   -1.968484e+01
      92    2.049211e+03    6.512842e-01   -2.089595e+01
      94    2.010904e+03    6.859217e-01   -2.222793e+01
      96    2.129552e+03    7.190195e-01   -2.343173e+01
      98    2.325160e+03    7.540226e-01   -2.460028e+01
     100    2.281317e+03    7.879098e-01   -2.596453e+01
     104    2.480618e+03    8.562322e-01   -2.845780e+01
     108    2.559125e+03    9.180006e-01   -3.136133e+01
     112    2.931107e+03    9.830911e-01   -3.416325e+01
     116    2.892724e+03    1.044859e+00   -3.678809e+01
     120    3.319838e+03    1.092403e+00   -4.032540e+01
     124    3.532935e+03    1.140671e+00   -4.330834e+01
     128    3.552777e+03    1.191481e+00   -4.683099e+01
     132    3.811103e+03    1.223711e+00   -4.702166e+01
     136    3.959498e+03    1.240859e+00   -4.810784e+01
     140    3.884234e+03    1.258906e+00   -5.024625e+01
     144    4.052720e+03    1.276113e+00   -5.048120e+01
     148    4.428467e+03    1.281291e+00   -5.041657e+01
     152    4.568304e+03    1.261791e+00   -5.154259e+01
     156    4.441682e+03    1.231720e+00   -5.275002e+01
     160    4.558308e+03    1.210347e+00   -5.254421e+01
     164    4.851138e+03    1.190733e+00   -5.012837e+01
     168    5.156704e+03    1.166312e+00   -4.814252e+01
     172    5.212879e+03    1.115950e+00   -4.667530e+01
     176    5.209704e+03    1.054157e+00   -4.648594e+01
     180    5.153142e+03    9.862828e-01   -4.504068e+01
     184    5.186039e+03    9.378272e-01   -4.266113e+01
     188    5.312948e+03    8.934617e-01   -3.845413e+01
     192    5.495910e+03    8.667682e-01   -3.357582e+01
     196    5.609228e+03    8.310032e-01   -2.758351e+01
     200    5.800562e+03    8.074068e-01   -2.213353e+01
     204    5.809780e+03    7.810456e-01   -1.567100e+01
     208    5.933006e+03    7.694340e-01   -1.068147e+01
     212    5.931767e+03    7.740122e-01   -4.458337e+00
     216    5.943326e+03    7.826333e-01    1.534359e+00
     220    5.977843e+03    8.132956e-01    6.866612e+00
     224    5.911606e+03    8.546725e-01    1.460870e+01
     228    5.932079e+03    9.161950e-01    2.126633e+01
     232    5.833171e+03    1.047666e+00    2.862026e+01
     236    5.773971e+03    1.196014e+00    3.559756e+01
     240    5.722856e+03    1.375206e+00    4.102501e+01
     244    5.491991e+03    1.522671e+00    4.638315e+01
     248    5.443214e+03    1.633640e+00    5.067749e+01
     252    5.235959e+03    1.732865e+00    5.436113e+01
     256    5.108891e+03    1.809113e+00    5.752373e+01
     260    5.046934e+03    1.911579e+00    6.168487e+01
     264    5.058731e+03    2.079005e+00    6.769920e+01
     268    4.979482e+03    2.447103e+00    8.059746e+01
     272    4.969643e+03    3.074824e+00    9.159808e+01
     276    4.821418e+03    3.900499e+00    9.914962e+01
     280    4.576715e+03    4.460747e+00    9.966541e+01
     284    4.266420e+03    4.592072e+00    9.820990e+01
     288    4.225999e+03    4.404847e+00    9.587585e+01
     292    4.163297e+03    4.553734e+00    1.018521e+02
     296    4.086082e+03    5.439388e+00    1.128152e+02
     300    3.822722e+03    6.696683e+00    1.212168e+02
     304    3.673421e+03    7.378121e+00    1.159345e+02
     308    3.483618e+03    7.018042e+00    1.064373e+02
     312    3.423244e+03    6.830791e+00    1.101592e+02
     316    3.245343e+03    7.914606e+00    1.212531e+02
