# ell  C_l  D_l[muK^2]
     2  6.23802177e-10  4.42497316e+03
     3  3.09256259e-10  4.38745070e+03
     4  1.84171928e-10  4.35477713e+03
     5  1.22150207e-10  4.33239419e+03
     6  8.69285824e-11  4.31642692e+03
     7  6.50324308e-11  4.30556866e+03
     8  5.04901017e-11  4.29784992e+03
     9  4.03503862e-11  4.29341342e+03
    10  3.29927093e-11  4.29065079e+03
    11  2.74912957e-11  4.29024056e+03
    12  2.32648276e-11  4.29078685e+03
    13  1.99513357e-11  4.29295038e+03
    14  1.73029473e-11  4.29587745e+03
    15  1.51530958e-11  4.29957090e+03
    16  1.33852096e-11  4.30434016e+03
    17  1.19100493e-11  4.30871225e+03
    18  1.06719477e-11  4.31501489e+03
    19  9.61439001e-12  4.31934443e+03
    20  8.71412664e-12  4.32698771e+03
    21  7.92865600e-12  4.33065967e+03
    22  7.25397173e-12  4.33949188e+03
    23  6.65337794e-12  4.34203956e+03
    24  6.13492373e-12  4.35184003e+03
    25  5.66451660e-12  4.35300048e+03
    26  5.25747198e-12  4.36341563e+03
    27  4.88164544e-12  4.36315390e+03
    28  4.55590080e-12  4.37363758e+03
    29  4.25077681e-12  4.37220040e+03
    30  3.98541877e-12  4.38197015e+03
    32  3.51459877e-12  4.38785407e+03
    34  3.12083150e-12  4.39065979e+03
    36  2.78748877e-12  4.38964962e+03
    38  2.50224754e-12  4.38420627e+03
    40  2.25603629e-12  4.37423824e+03
    42  2.04242569e-12  4.36090389e+03
    44  1.85691826e-12  4.34680825e+03
    46  1.69598764e-12  4.33501773e+03
    48  1.55601996e-12  4.32678172e+03
    50  1.43281491e-12  4.31959249e+03
    52  1.32218498e-12  4.30808177e+03
    54  1.22129162e-12  4.28833132e+03
    56  1.12908034e-12  4.26088910e+03
    58  1.04483989e-12  4.22709738e+03
    60  9.66558864e-13  4.18236468e+03
    62  8.92080301e-13  4.11953970e+03
    64  8.22474521e-13  4.04509093e+03
    66  7.61928389e-13  3.98332185e+03
