# ell  C_l  D_l[muK^2]
     2  4.75637307e-10  3.37395796e+03
     3  2.35803183e-10  3.34536426e+03
     4  1.40427781e-10  3.32043920e+03
     5  9.31368385e-11  3.30335502e+03
     6  6.62808905e-11  3.29116859e+03
     7  4.95852075e-11  3.28286230e+03
     8  3.84970944e-11  3.27697368e+03
     9  3.07654527e-11  3.27354506e+03
    10  2.51556640e-11  3.27145518e+03
    11  2.09605718e-11  3.27106792e+03
    12  1.77383785e-11  3.27153085e+03
    13  1.52114866e-11  3.27307194e+03
    14  1.31925972e-11  3.27538308e+03
    15  1.15529513e-11  3.27805842e+03
    16  1.02054042e-11  3.28179629e+03
    17  9.08027646e-12  3.28498206e+03
    18  8.13655480e-12  3.28987324e+03
    19  7.33002027e-12  3.29307238e+03
    20  6.64365785e-12  3.29889925e+03
    21  6.04488291e-12  3.30173621e+03
    22  5.53016183e-12  3.30826935e+03
    23  5.07276643e-12  3.31052177e+03
    24  4.67670260e-12  3.31744329e+03
    25  4.31907678e-12  3.31907286e+03
    26  4.00742373e-12  3.32594362e+03
    27  3.72246591e-12  3.32709368e+03
    28  3.47224983e-12  3.33333912e+03
    29  3.24173435e-12  3.33433461e+03
    30  3.03706474e-12  3.33925437e+03
    32  2.67795291e-12  3.34333087e+03
    34  2.37773256e-12  3.34520295e+03
    36  2.12379940e-12  3.34449247e+03
    38  1.90684426e-12  3.34099581e+03
    40  1.72002094e-12  3.33495582e+03
    42  1.55841551e-12  3.32746512e+03
    44  1.41842191e-12  3.32034435e+03
    46  1.29698509e-12  3.31514995e+03
    48  1.19089721e-12  3.31149496e+03
    50  1.09665044e-12  3.30613743e+03
    52  1.01110255e-12  3.29448037e+03
    54  9.32462657e-13  3.27416380e+03
    56  8.60343589e-13  3.24673852e+03
    58  7.94454726e-13  3.21411685e+03
    60  7.33519365e-13  3.17398722e+03
    62  6.76420779e-13  3.12364509e+03
    64  6.24431605e-13  3.07107704e+03
    66  5.80275574e-13  3.03365041e+03
    68  5.43512880e-13  3.01495162e+03
    70  5.09249435e-13  2.99226084e+03
    72  4.74296871e-13  2.94725777e+03
    74  4.41391634e-13  2.89620690e+03
    76  4.12651846e-13  2.85496386e+03
    78  3.84358479e-13  2.80008145e+03
    80  3.55760126e-13  2.72549118e+03
    82  3.33452233e-13  2.68310754e+03
    84  3.16759639e-13  2.67387165e+03
    86  2.95347216e-13  2.61254085e+03
    88  2.70751981e-13  2.50701439e+03
    90  2.53124643e-13  2.45092958e+03
    92  2.37465998e-13  2.40206477e+03
    94  2.20089043e-13  2.32360544e+03
    96  2.12218521e-13  2.33635459e+03
    98  2.05750930e-13  2.36001945e+03
   100  1.86428902e-13  2.22611256e+03
   104  1.62364439e-13  2.09616786e+03
   108  1.44430027e-13  2.01011198e+03
   112  1.27080489e-13  1.90146286e+03
   116  1.18563606e-13  1.90242592e+03
   120  1.08982017e-13  1.87082843e+03
   124  8.97418939e-14  1.64452104e+03
   128  8.64759449e-14  1.68813627e+03
   132  7.73454583e-14  1.60536169e+03
   136  8.22572262e-14  1.81194930e+03
   140  8.27785716e-14  1.93186859e+03
   144  7.38694655e-14  1.82350919e+03
   148  6.31965116e-14  1.64760687e+03
   152  6.44225951e-14  1.77127396e+03
   156  5.76638279e-14  1.66970683e+03
   160  6.21107779e-14  1.89158269e+03
   164  6.36775856e-14  2.03716818e+03
   168  6.41774638e-14  2.15422490e+03
   172  6.96140872e-14  2.44897407e+03
   176  7.06599086e-14  2.60238478e+03
   180  7.05409581e-14  2.71709572e+03
   184  7.36563723e-14  2.96423330e+03
   188  7.07111100e-14  2.97043335e+03
   192  7.44210534e-14  3.26036975e+03
   196  6.86156522e-14  3.13226139e+03
   200  7.55080677e-14  3.58865669e+03
   204  7.55168497e-14  3.73370840e+03
   208  8.66816452e-14  4.45501603e+03
   212  9.27514291e-14  4.95163448e+03
   216  1.01535032e-13  5.62654633e+03
   220  9.98113945e-14  5.73730030e+03
   224  9.35266811e-14  5.57286553e+03
   228  8.18304097e-14  5.05123483e+03
   232  8.17599772e-14  5.22513087e+03
   236  8.69063054e-14  5.74677430e+03
   240  1.03638947e-13  7.08702197e+03
   244  9.70068345e-14  6.85599904e+03
   248  8.77028214e-14  6.40290557e+03
   252  7.51811604e-14  5.66686140e+03
   256  9.07997635e-14  7.06269270e+03
   260  9.53685305e-14  7.65123340e+03
   264  8.49785398e-14  7.02864436e+03
   268  7.55405599e-14  6.43842703e+03
   272  7.82367538e-14  6.86838890e+03
   276  9.08434366e-14  8.21097842e+03
   280  7.28870496e-14  6.77996148e+03
   284  6.68684468e-14  6.39877649e+03
   288  8.17103546e-14  8.04044213e+03
   292  6.98853139e-14  7.06885212e+03
   296  6.08235521e-14  6.32167907e+03
   300  6.95969636e-14  7.43002965e+03
   304  6.40185333e-14  7.01764908e+03
   308  5.46465983e-14  6.14872164e+03
   312  6.22128827e-14  7.18276671e+03
   316  5.59475562e-14  6.62582514e+03
   320  4.79338554e-14  5.82116455e+03
   324  5.69157690e-14  7.08554864e+03
   328  4.65006926e-14  5.93255355e+03
   332  4.15798208e-14  5.43472326e+03
   336  4.86378854e-14  6.51113002e+03
   340  3.96557414e-14  5.43565487e+03
   344  3.64294234e-14  5.11142908e+03
   348  3.73758472e-14  5.36671114e+03
   352  3.48974728e-14  5.12653411e+03
   356  3.45530184e-14  5.19178513e+03
   360  2.74940085e-14  4.22435365e+03
