# ell  C_l  D_l[muK^2]
     2  4.83420859e-10  3.42917098e+03
     3  2.37913772e-10  3.37530741e+03
     4  1.41127179e-10  3.33697660e+03
     5  9.34307701e-11  3.31378011e+03
     6  6.64286681e-11  3.29850647e+03
     7  4.96650152e-11  3.28814608e+03
     8  3.85465236e-11  3.28118122e+03
     9  3.07953316e-11  3.27672427e+03
    10  2.51767791e-11  3.27420116e+03
    11  2.09742761e-11  3.27320659e+03
    12  1.77487140e-11  3.27343705e+03
    13  1.52188886e-11  3.27466465e+03
    14  1.31979193e-11  3.27670443e+03
    15  1.15576862e-11  3.27940192e+03
    16  1.02079924e-11  3.28262859e+03
    17  9.08385173e-12  3.28627549e+03
    18  8.13747507e-12  3.29024533e+03
    19  7.33309420e-12  3.29445337e+03
    20  6.64350085e-12  3.29882130e+03
    21  6.04771832e-12  3.30328492e+03
    22  5.52934391e-12  3.30778005e+03
    23  5.07540798e-12  3.31224566e+03
    24  4.67555682e-12  3.31663053e+03
    25  4.32143991e-12  3.32088884e+03
    26  4.00625410e-12  3.32497288e+03
    27  3.72441748e-12  3.32883796e+03
    28  3.47132002e-12  3.33244651e+03
    29  3.24312040e-12  3.33576025e+03
    30  3.03660135e-12  3.33874487e+03
    32  2.67816238e-12  3.34359239e+03
    34  2.37883866e-12  3.34675911e+03
    36  2.12603871e-12  3.34801887e+03
    38  1.91038353e-12  3.34719699e+03
    40  1.72474817e-12  3.34412147e+03
    42  1.56366142e-12  3.33866597e+03
    44  1.42284513e-12  3.33069854e+03
    46  1.29893448e-12  3.32013269e+03
    48  1.18924347e-12  3.30689647e+03
    50  1.09160532e-12  3.29092761e+03
    52  1.00426069e-12  3.27218751e+03
    54  9.25773997e-13  3.25067785e+03
    56  8.54950171e-13  3.22638500e+03
    58  7.90804108e-13  3.19934759e+03
    60  7.32503684e-13  3.16959230e+03
    62  6.79355769e-13  3.13719859e+03
    64  6.30766598e-13  3.10223378e+03
    66  5.86231638e-13  3.06478840e+03
    68  5.45321004e-13  3.02498157e+03
    70  5.07663573e-13  2.98294259e+03
    72  4.72937011e-13  2.93880766e+03
    74  4.40864034e-13  2.89274504e+03
    76  4.11199259e-13  2.84491402e+03
    78  3.83729886e-13  2.79550210e+03
    80  3.58268536e-13  2.74470820e+03
    82  3.34648542e-13  2.69273358e+03
    84  3.12722802e-13  2.63979539e+03
    86  2.92359995e-13  2.58611691e+03
    88  2.73442917e-13  2.53193097e+03
    90  2.55866156e-13  2.47747483e+03
    92  2.39534358e-13  2.42298707e+03
    94  2.24361680e-13  2.36871411e+03
    96  2.10270901e-13  2.31491286e+03
    98  1.97190395e-13  2.26182777e+03
   100  1.85055205e-13  2.20970950e+03
   104  1.63387316e-13  2.10937348e+03
   108  1.44844436e-13  2.01587954e+03
   112  1.29063942e-13  1.93114060e+03
   116  1.15730369e-13  1.85696489e+03
   120  1.04567593e-13  1.79504868e+03
   124  9.53301159e-14  1.74692526e+03
   128  8.77993492e-14  1.71397105e+03
   132  8.17778191e-14  1.69735858e+03
   136  7.70864492e-14  1.69804823e+03
   140  7.35632123e-14  1.71680250e+03
   144  7.10597149e-14  1.75414892e+03
   148  6.94396255e-14  1.81037214e+03
   152  6.85787961e-14  1.88554708e+03
   156  6.83632770e-14  1.97951879e+03
   160  6.86876974e-14  2.09188266e+03
   164  6.94567830e-14  2.22205580e+03
   168  7.05830929e-14  2.36924065e+03
   172  7.19865858e-14  2.53243689e+03
   176  7.35948303e-14  2.71047713e+03
   180  7.53423067e-14  2.90203400e+03
   184  7.71699260e-14  3.10563305e+03
   188  7.90251789e-14  3.31969088e+03
   192  8.08612143e-14  3.54251176e+03
   196  8.26362836e-14  3.77229440e+03
   200  8.43147573e-14  4.00721046e+03
   204  8.58657627e-14  4.24537995e+03
   208  8.72625065e-14  4.48486948e+03
   212  8.84833859e-14  4.72378042e+03
   216  8.95102880e-14  4.96019721e+03
   220  9.03298974e-14  5.19229042e+03
   224  9.09311214e-14  5.41820694e+03
   228  9.13073599e-14  5.63622886e+03
   232  9.14544658e-14  5.84468793e+03
   236  9.13715108e-14  6.04204088e+03
   240  9.10595994e-14  6.22682304e+03
   244  9.05230142e-14  6.39775230e+03
   248  8.97668983e-14  6.55359730e+03
   252  8.87995461e-14  6.69336197e+03
   256  8.76299494e-14  6.81613454e+03
   260  8.62690656e-14  6.92120087e+03
   264  8.47290310e-14  7.00800729e+03
   268  8.30224764e-14  7.07612118e+03
   272  8.11636186e-14  7.12533777e+03
   276  7.91667960e-14  7.15557312e+03
   280  7.70475602e-14  7.16697264e+03
   284  7.48206361e-14  7.15973751e+03
   288  7.25023679e-14  7.13436009e+03
   292  7.01079480e-14  7.09137141e+03
   296  6.76532940e-14  7.03152640e+03
   300  6.51535642e-14  6.95566142e+03
   304  6.26241409e-14  6.86479715e+03
   308  6.00798572e-14  6.76006065e+03
   312  5.75347468e-14  6.64265416e+03
   316  5.50026604e-14  6.51392187e+03
   320  5.24966796e-14  6.37528127e+03
   324  5.00291269e-14  6.22821791e+03
   328  4.76115187e-14  6.07427263e+03
   332  4.52548223e-14  5.91506723e+03
   336  4.29690192e-14  5.75224166e+03
   340  4.07630235e-14  5.58743122e+03
   344  3.86451667e-14  5.42232104e+03
   348  3.66227197e-14  5.25857132e+03
   352  3.47020251e-14  5.09782229e+03
   356  3.28885512e-14  4.94168958e+03
   360  3.11867943e-14  4.79173666e+03
   364  2.96004439e-14  4.64948634e+03
   368  2.81321123e-14  4.51636498e+03
   372  2.67837578e-14  4.39375448e+03
   376  2.55563511e-14  4.28292576e+03
   380  2.44500278e-14  4.18504792e+03
   384  2.34642966e-14  4.10120992e+03
   388  2.25977447e-14  4.03235657e+03
   392  2.18483780e-14  3.97933336e+03
   396  2.12133862e-14  3.94283130e+03
   400  2.06895302e-14  3.92344436e+03
   404  2.02728899e-14  3.92161139e+03
   408  1.99589812e-14  3.93762492e+03
   412  1.97430014e-14  3.97166809e+03
   416  1.96194769e-14  4.02373447e+03
   420  1.95827580e-14  4.09371635e+03
   424  1.96268833e-14  4.18137032e+03
   428  1.97455594e-14  4.28630438e+03
   432  1.99322641e-14  4.40799183e+03
   436  2.01802737e-14  4.54577025e+03
   440  2.04828000e-14  4.69886636e+03
   444  2.08329854e-14  4.86639094e+03
   448  2.12239826e-14  5.04735371e+03
   452  2.16488560e-14  5.24063717e+03
   456  2.21008108e-14  5.44504851e+03
   460  2.25732061e-14  5.65932335e+03
   464  2.30593641e-14  5.88207779e+03
   468  2.35529115e-14  6.11189382e+03
   472  2.40477804e-14  6.34732361e+03
   476  2.45380142e-14  6.58684206e+03
   480  2.50178144e-14  6.82885960e+03
   484  2.54820392e-14  7.07186212e+03
   488  2.59255542e-14  7.31424046e+03
   492  2.63435598e-14  7.55438280e+03
   496  2.67318923e-14  7.79076800e+03
   500  2.70864264e-14  8.02180212e+03
   508  2.76805590e-14  8.46191883e+03
   516  2.81019426e-14  8.86317026e+03
   524  2.83331267e-14  9.21504794e+03
   532  2.83631100e-14  9.50835077e+03
   540  2.81867391e-14  9.73527816e+03
   548  2.78052202e-14  9.88989649e+03
   556  2.72250026e-14  9.96805491e+03
   564  2.64576010e-14  9.96759809e+03
   572  2.55185142e-14  9.88822953e+03
   580  2.44271393e-14  9.73171182e+03
   588  2.32058652e-14  9.50173448e+03
   596  2.18789406e-14  9.20363497e+03
   604  2.04721375e-14  8.84439250e+03
   612  1.90119306e-14  8.43238879e+03
   620  1.75246526e-14  7.97710321e+03
   628  1.60359837e-14  7.48890636e+03
   636  1.45702508e-14  6.97872491e+03
   644  1.31500552e-14  6.45781594e+03
   652  1.17956140e-14  5.93736615e+03
   660  1.05246224e-14  5.42830726e+03
   668  9.35167996e-15  4.94088471e+03
   676  8.28858077e-15  4.48464471e+03
   684  7.34368926e-15  4.06792998e+03
   692  6.52236249e-15  3.69791364e+03
   700  5.82672948e-15  3.38028577e+03
   708  5.25603807e-15  3.11925227e+03
   716  4.80670826e-15  2.91737627e+03
   724  4.47274223e-15  2.77563878e+03
   732  4.24591613e-15  2.69338831e+03
   740  4.11619938e-15  2.66844856e+03
   748  4.07209776e-15  2.69720599e+03
   756  4.10106417e-15  2.77476843e+03
   764  4.18986711e-15  2.89512651e+03
   772  4.32494472e-15  3.05133478e+03
   780  4.49280294e-15  3.23575411e+03
   788  4.68041184e-15  3.44032756e+03
   796  4.87537384e-15  3.65672092e+03
   804  5.06628448e-15  3.87662691e+03
   812  5.24298402e-15  4.09201873e+03
   820  5.39667095e-15  4.29531929e+03
   828  5.52005697e-15  4.47961749e+03
   836  5.60746272e-15  4.63885326e+03
   844  5.65489360e-15  4.76799836e+03
   852  5.65995420e-15  4.86310948e+03
   860  5.62180638e-15  4.92141502e+03
   868  5.54115444e-15  4.94142560e+03
   876  5.42008844e-15  4.92291772e+03
   884  5.26182203e-15  4.86680780e+03
   892  5.07072081e-15  4.77527643e+03
   900  4.85193432e-15  4.65151813e+03
