# ell  C_l  D_l[muK^2]
     2  3.23095972e-10  2.29189807e+03
     7  9.89052638e-11  6.54816987e+03
    12  1.75586639e-11  3.23838567e+03
    17  1.26273848e-11  4.56822352e+03
    22  6.66195071e-12  3.98533136e+03
    27  3.51482948e-12  3.14151082e+03
    30  2.61852414e-12  2.87906874e+03
    40  1.55695450e-12  3.01878563e+03
    50  9.83929732e-13  2.96631159e+03
    60  6.09442328e-13  2.63709761e+03
    70  4.58354865e-13  2.69321322e+03
    80  4.60169577e-13  3.52537575e+03
    90  3.54584125e-13  3.43333115e+03
   100  2.79172443e-13  3.33354579e+03
   108  2.36909202e-13  3.29719541e+03
   116  2.03398936e-13  3.26366093e+03
   124  1.79814565e-13  3.29510356e+03
   132  1.64279268e-13  3.40973664e+03
   140  1.46761193e-13  3.42508132e+03
   148  1.28384629e-13  3.34713722e+03
   156  1.20452142e-13  3.48779766e+03
   164  1.19109626e-13  3.81054555e+03
   172  1.09823339e-13  3.86350695e+03
   180  9.51409477e-14  3.66463780e+03
   188  8.91327593e-14  3.74429027e+03
   196  9.01104139e-14  4.11348375e+03
   204  8.52603723e-14  4.21544820e+03
   212  7.46735180e-14  3.98652582e+03
   220  6.82562978e-14  3.92346866e+03
   228  6.66735231e-14  4.11562918e+03
   236  6.30848727e-14  4.17155606e+03
   244  5.65803365e-14  3.99883920e+03
   250  5.40226273e-14  4.00776212e+03
   265  4.53082662e-14  3.77587369e+03
   280  3.74757057e-14  3.48599432e+03
   295  3.05299341e-14  3.15175245e+03
   310  2.43581651e-14  2.77638160e+03
   325  1.94293537e-14  2.43372677e+03
   340  1.52240399e-14  2.08677542e+03
   355  1.09917704e-14  1.64232273e+03
   370  7.50955864e-15  1.21871611e+03
   385  5.79448055e-15  1.01806392e+03
   400  5.16665306e-15  9.79774580e+02
   415  4.39569843e-15  8.97184624e+02
   430  3.52867913e-15  7.73161819e+02
   445  3.20958828e-15  7.53107028e+02
   460  3.38180500e-15  8.47851559e+02
   475  3.65866869e-15  9.77993910e+02
   490  3.97038253e-15  1.12933406e+03
   500  4.12579200e-15  1.22187721e+03
   512  4.36888730e-15  1.35665891e+03
   524  4.30635421e-15  1.40059588e+03
   536  4.55544677e-15  1.55018152e+03
   548  4.49206946e-15  1.59776120e+03
   560  4.09403202e-15  1.52059875e+03
   572  4.30909084e-15  1.66973982e+03
   584  3.86280198e-15  1.56021218e+03
   596  3.41912747e-15  1.43829638e+03
   600  3.42829246e-15  1.46155812e+03
   620  2.85304225e-15  1.29868552e+03
   640  2.33474676e-15  1.13237504e+03
   660  1.77581559e-15  9.15916251e+02
   680  1.37681040e-15  7.53776624e+02
   700  1.07203525e-15  6.21924445e+02
   720  9.44694311e-16  5.79791128e+02
   740  9.49612713e-16  6.15614658e+02
   760  8.94204317e-16  6.11431087e+02
   780  1.14799789e-15  8.26797642e+02
   800  1.13658285e-15  8.61065335e+02
   820  1.28846071e-15  1.02551187e+03
   840  1.30366492e-15  1.08881417e+03
   850  1.29864307e-15  1.11058241e+03
   880  1.20821394e-15  1.10742654e+03
   910  9.98229851e-16  9.78369323e+02
   940  7.51019912e-16  7.85382886e+02
   970  5.59371048e-16  6.22878661e+02
  1000  3.67419894e-16  4.34819738e+02
  1030  3.28777164e-16  4.12771819e+02
  1060  3.49255349e-16  4.64383543e+02
  1090  3.98431477e-16  5.60166838e+02
  1120  4.65100139e-16  6.90371110e+02
  1150  4.63783036e-16  7.25772531e+02
  1180  4.44992019e-16  7.33156402e+02
  1210  3.79372440e-16  6.57215498e+02
  1240  2.87054260e-16  5.22239801e+02
  1270  2.05989579e-16  3.93103605e+02
  1300  1.49509754e-16  2.98952837e+02
  1330  1.24873289e-16  2.61343529e+02
  1360  1.36997630e-16  2.99793762e+02
  1390  1.51998440e-16  3.47450999e+02
  1420  1.75050554e-16  4.17598006e+02
  1450  1.84755332e-16  4.59562834e+02
  1480  1.73660879e-16  4.50019439e+02
  1500  1.59302982e-16  4.24041498e+02
  1550  1.04517855e-16  2.97061581e+02
  1600  6.03264143e-17  1.82696964e+02
  1650  5.01564165e-17  1.61536260e+02
  1700  6.36769742e-17  2.17694851e+02
  1750  7.31234602e-17  2.64906999e+02
  1800  6.32373575e-17  2.42366414e+02
  1850  4.13329873e-17  1.67335254e+02
  1900  2.35927215e-17  1.00745641e+02
  1950  1.90741665e-17  8.57926247e+01
  2000  2.41060608e-17  1.14055396e+02
  2050  2.79691666e-17  1.39030970e+02
  2100  2.45266861e-17  1.27937165e+02
  2150  1.59785214e-17  8.73630852e+01
  2200  8.85741029e-18  5.07063080e+01
  2250  6.92506979e-18  4.14662414e+01
  2300  8.78813706e-18  5.49862093e+01
  2350  1.03405658e-17  6.75425261e+01
  2400  9.08881499e-18  6.19188910e+01
  2450  5.82198252e-18  4.13326069e+01
  2500  3.04310758e-18  2.24948712e+01
