# ell  C_l  D_l[muK^2]
     2  7.97672728e-10  5.65833295e+03
     3  3.93259058e-10  5.57920713e+03
     4  2.33372587e-10  5.51813524e+03
     5  1.54365774e-10  5.47500820e+03
     6  1.09558298e-10  5.44010237e+03
     7  8.17066977e-11  5.40951326e+03
     8  6.32192697e-11  5.38139010e+03
     9  5.03246711e-11  5.35471004e+03
    10  4.09760604e-11  5.32887326e+03
    11  3.39841827e-11  5.30350846e+03
    12  2.86195049e-11  5.27836258e+03
    13  2.44143470e-11  5.25326132e+03
    14  2.10577086e-11  5.22808826e+03
    15  1.83362472e-11  5.20276489e+03
    16  1.60996692e-11  5.17724075e+03
    17  1.42396429e-11  5.15149200e+03
    18  1.26764171e-11  5.12548695e+03
    19  1.13502739e-11  5.09920466e+03
    20  1.02158002e-11  5.07264168e+03
    21  9.23798246e-12  5.04581837e+03
    22  8.38941956e-12  5.01874275e+03
    23  7.64841192e-12  4.99140549e+03
    24  6.99764982e-12  4.96381927e+03
    25  6.42318369e-12  4.93601196e+03
    26  5.91363792e-12  4.90799766e+03
    27  5.45967024e-12  4.87978527e+03
    28  5.05356703e-12  4.85139419e+03
    29  4.68890552e-12  4.82284427e+03
    30  4.36029755e-12  4.79414958e+03
    32  3.79376729e-12  4.73638624e+03
    34  3.32527966e-12  4.67829541e+03
    36  2.93376074e-12  4.61999410e+03
    38  2.60352576e-12  4.56165658e+03
    40  2.32265388e-12  4.50340337e+03
    42  2.08199226e-12  4.44538481e+03
    44  1.87440249e-12  4.38773660e+03
    46  1.69426206e-12  4.33060707e+03
    48  1.53707305e-12  4.27409655e+03
    50  1.39922191e-12  4.21831767e+03
    52  1.27778277e-12  4.16340581e+03
    54  1.17035350e-12  4.10947187e+03
    56  1.07494898e-12  4.05660984e+03
    58  9.89922082e-13  4.00491702e+03
    60  9.13891248e-13  3.95446839e+03
    62  8.45703245e-13  3.90537498e+03
    64  7.84374411e-13  3.85770711e+03
    66  7.29067180e-13  3.81152516e+03
    68  6.79069910e-13  3.76690784e+03
    70  6.33769577e-13  3.72391947e+03
    72  5.92635539e-13  3.68260851e+03
    74  5.55210313e-13  3.64303221e+03
    76  5.21094048e-13  3.60522965e+03
    78  4.89938424e-13  3.56923957e+03
    80  4.61438928e-13  3.53510030e+03
    82  4.35328025e-13  3.50284626e+03
    84  4.11369261e-13  3.47250239e+03
    86  3.89352571e-13  3.44408019e+03
    88  3.69092906e-13  3.41759725e+03
    90  3.50425939e-13  3.39306869e+03
    92  3.33204632e-13  3.37049984e+03
    94  3.17297405e-13  3.34988952e+03
    96  3.02586691e-13  3.33123518e+03
    98  2.88966646e-13  3.31452647e+03
   100  2.76342384e-13  3.29975259e+03
   104  2.53747364e-13  3.27594560e+03
   108  2.34210763e-13  3.25963976e+03
   112  2.17247560e-13  3.25060259e+03
   116  2.02457144e-13  3.24854929e+03
   120  1.89506436e-13  3.25314247e+03
   124  1.78116919e-13  3.26399418e+03
   128  1.68055375e-13  3.28068544e+03
   132  1.59125051e-13  3.30275709e+03
   136  1.51159196e-13  3.32971109e+03
   140  1.44016684e-13  3.36103056e+03
   144  1.37577403e-13  3.39617536e+03
   148  1.31738743e-13  3.43458289e+03
   152  1.26413234e-13  3.47568224e+03
   156  1.21526095e-13  3.51889492e+03
   160  1.17013028e-13  3.56362979e+03
   164  1.12819308e-13  3.60930621e+03
   168  1.08898016e-13  3.65534573e+03
   172  1.05208899e-13  3.70117423e+03
   176  1.01717576e-13  3.74623001e+03
   180  9.83948087e-14  3.78996998e+03
   184  9.52156566e-14  3.83186696e+03
   188  9.21591572e-14  3.87142324e+03
   192  8.92074366e-14  3.90815790e+03
   196  8.63454401e-14  3.94161507e+03
   200  8.35608165e-14  3.97137806e+03
   204  8.08433872e-14  3.99706337e+03
   208  7.81845255e-14  4.01830530e+03
   212  7.55775995e-14  4.03479118e+03
   216  7.30170914e-14  4.04622956e+03
   220  7.04991067e-14  4.05238849e+03
   224  6.80202644e-14  4.05304436e+03
   228  6.55785130e-14  4.04803630e+03
   232  6.31723668e-14  4.03723062e+03
   236  6.08011321e-14  4.02054122e+03
   240  5.84644875e-14  3.99790929e+03
   244  5.61628426e-14  3.96933264e+03
   248  5.38965724e-14  3.93481827e+03
   252  5.16667925e-14  3.89444045e+03
   256  4.94745876e-14  3.84828985e+03
