# ell  C_l  D_l[muK^2]
     2  4.08194756e-10  2.89555071e+03
     3  1.71521283e-10  2.43339027e+03
     4  9.31750510e-11  2.20314022e+03
     5  5.84477189e-11  2.07300966e+03
     6  4.03066643e-11  2.00142192e+03
     7  2.95621409e-11  1.95720544e+03
     8  2.25968654e-11  1.92350446e+03
     9  1.79829571e-11  1.91344561e+03
    10  1.47035110e-11  1.91216885e+03
    11  1.22751314e-11  1.91563422e+03
    12  1.04844527e-11  1.93367227e+03
    13  8.98717992e-12  1.93378118e+03
    14  7.95327346e-12  1.97459355e+03
    15  6.92605435e-12  1.96521306e+03
    16  6.33082345e-12  2.03583047e+03
    17  5.54063306e-12  2.00444119e+03
    18  5.19124977e-12  2.09899080e+03
    19  4.58942259e-12  2.06183615e+03
    20  4.34082804e-12  2.15543225e+03
    21  3.91706372e-12  2.13951392e+03
    22  3.68550069e-12  2.20475085e+03
    23  3.42527330e-12  2.23535658e+03
    24  3.18719075e-12  2.26085032e+03
    25  3.02826145e-12  2.32712241e+03
    26  2.80564396e-12  2.32853180e+03
    27  2.71029249e-12  2.42242568e+03
    28  2.47274813e-12  2.37382345e+03
    29  2.46880641e-12  2.53932795e+03
    30  2.18251090e-12  2.39967195e+03
    32  2.00196240e-12  2.49938028e+03
    34  1.89762941e-12  2.66975167e+03
    36  1.76928502e-12  2.78621439e+03
    38  1.67666564e-12  2.93769817e+03
    40  1.55240556e-12  3.00996566e+03
    42  1.36042718e-12  2.90472853e+03
    44  1.30959978e-12  3.06560565e+03
    46  1.19410861e-12  3.05219323e+03
    48  1.21899507e-12  3.38962590e+03
    50  1.18907423e-12  3.58477293e+03
    52  1.10527028e-12  3.60130754e+03
    54  1.00843715e-12  3.54093365e+03
    56  9.37825013e-13  3.53913557e+03
    58  9.32071369e-13  3.77087101e+03
    60  9.77822207e-13  4.23110191e+03
    62  9.55729636e-13  4.41346611e+03
    64  8.55819213e-13  4.20908666e+03
    66  8.07495889e-13  4.22154636e+03
    68  8.36472818e-13  4.64004658e+03
    70  8.59874292e-13  5.05247133e+03
    72  7.67470831e-13  4.76902654e+03
    74  7.04347279e-13  4.62159973e+03
    76  7.77827076e-13  5.38145705e+03
    78  8.09195376e-13  5.89505132e+03
    80  7.38218948e-13  5.65552203e+03
    82  6.80019084e-13  5.47174122e+03
    84  7.61197529e-13  6.42551713e+03
    86  7.34447713e-13  6.49667425e+03
    88  6.27853618e-13  5.81357908e+03
    90  6.81508723e-13  6.59884345e+03
    92  7.45884095e-13  7.54491978e+03
    94  6.51836495e-13  6.88180932e+03
    96  6.44686886e-13  7.09748213e+03
    98  7.19479272e-13  8.25262405e+03
   100  6.47267233e-13  7.72889666e+03
   104  7.25355811e-13  9.36453543e+03
   108  6.02916751e-13  8.39112340e+03
   112  6.01978374e-13  9.00720112e+03
   116  7.02500612e-13  1.12720540e+04
   120  6.47763310e-13  1.11197613e+04
   124  5.83302232e-13  1.06890188e+04
   128  5.78094809e-13  1.12852518e+04
   132  6.41752602e-13  1.33200457e+04
   136  6.59296673e-13  1.45228839e+04
   140  6.33384350e-13  1.47817884e+04
   144  5.84586253e-13  1.44308395e+04
   148  5.27368351e-13  1.37491089e+04
   152  5.29365993e-13  1.45547102e+04
   156  5.27533746e-13  1.52752034e+04
   160  5.35161596e-13  1.62983374e+04
   164  5.53580077e-13  1.77100892e+04
   168  5.47841232e-13  1.83892157e+04
   172  5.54056367e-13  1.94913089e+04
   176  5.34881005e-13  1.96995186e+04
   180  5.31951382e-13  2.04896965e+04
   184  5.10419940e-13  2.05413834e+04
   188  4.83064597e-13  2.02925847e+04
   192  4.67841586e-13  2.04960355e+04
   196  4.26921898e-13  1.94887163e+04
   200  4.05657306e-13  1.92795929e+04
   204  3.87666814e-13  1.91670448e+04
   208  3.59951489e-13  1.84997602e+04
   212  3.82832844e-13  2.04379418e+04
   216  3.88590662e-13  2.15336847e+04
   220  3.90979268e-13  2.24740420e+04
   224  3.77979440e-13  2.25222211e+04
   228  3.55325199e-13  2.19335456e+04
   232  2.90280278e-13  1.85512826e+04
   236  2.73953928e-13  1.81155025e+04
   240  2.87526161e-13  1.96615682e+04
   244  3.07984486e-13  2.17669338e+04
   248  2.79911755e-13  2.04354718e+04
   252  2.27214975e-13  1.71265749e+04
   256  2.18564384e-13  1.70006288e+04
   260  2.31349038e-13  1.85606875e+04
   264  2.38255623e-13  1.97063170e+04
   268  1.89839531e-13  1.61802874e+04
   272  1.65082859e-13  1.44925910e+04
   276  1.76576567e-13  1.59600565e+04
   280  1.80378065e-13  1.67787877e+04
   284  1.59574976e-13  1.52700512e+04
   288  1.38911018e-13  1.36690877e+04
   292  1.46183114e-13  1.47863229e+04
   296  1.25583978e-13  1.30525360e+04
   300  1.00766509e-13  1.07576266e+04
   304  1.10085884e-13  1.20675070e+04
   308  1.09707111e-13  1.23440161e+04
   312  8.99293796e-14  1.03827652e+04
   316  1.00095422e-13  1.18542222e+04
   320  9.92021949e-14  1.20472742e+04
   324  7.95023769e-14  9.89739695e+03
   328  8.62532769e-14  1.10041842e+04
   332  7.84433147e-14  1.02529953e+04
   336  6.89416989e-14  9.22919163e+03
   340  6.59289518e-14  9.03695191e+03
   344  6.28219197e-14  8.81457232e+03
   348  5.86651428e-14  8.42359169e+03
   352  5.56339879e-14  8.17278483e+03
   356  5.05895442e-14  7.60136322e+03
   360  5.28553302e-14  8.12102781e+03
   364  5.34628257e-14  8.39766723e+03
   368  4.65389649e-14  7.47142444e+03
   372  5.05895544e-14  8.29898787e+03
   376  5.14446612e-14  8.62148370e+03
   380  5.24903844e-14  8.98464310e+03
   384  5.45591675e-14  9.53613067e+03
   388  5.03412958e-14  8.98293426e+03
   392  5.59461501e-14  1.01896984e+04
   396  5.33308071e-14  9.91234372e+03
   400  5.75895803e-14  1.09209591e+04
   404  4.70186634e-14  9.09534489e+03
   408  5.22755260e-14  1.03132225e+04
   412  4.12972404e-14  8.30769998e+03
   416  4.78769348e-14  9.81902188e+03
   420  4.64211663e-14  9.70420447e+03
   424  5.15407080e-14  1.09803876e+04
   428  5.15790346e-14  1.11966158e+04
   432  5.97977817e-14  1.32241943e+04
   436  5.61280961e-14  1.26433087e+04
   440  5.79505451e-14  1.32941721e+04
   444  5.27172707e-14  1.23142624e+04
   448  5.63960601e-14  1.34117554e+04
   452  4.67941149e-14  1.13276645e+04
   456  6.21943428e-14  1.53230222e+04
   460  5.27814012e-14  1.32328130e+04
   464  6.91011172e-14  1.76265983e+04
   468  4.53547654e-14  1.17693946e+04
   472  6.38032650e-14  1.68406382e+04
   476  4.35999368e-14  1.17037139e+04
   480  6.36173446e-14  1.73649827e+04
   484  5.14080559e-14  1.42669384e+04
   488  6.16201358e-14  1.73845653e+04
   492  5.53930240e-14  1.58847214e+04
   496  4.86083274e-14  1.41664570e+04
   500  5.95889644e-14  1.76476171e+04
   508  6.48541279e-14  1.98258412e+04
   516  5.31155184e-14  1.67522897e+04
   524  4.46796056e-14  1.45315662e+04
   532  3.57921294e-14  1.19988295e+04
   540  3.85219200e-14  1.33048951e+04
   548  4.30489384e-14  1.53118566e+04
   556  4.39625143e-14  1.60962613e+04
   564  3.09146087e-14  1.16467247e+04
   572  2.73402703e-14  1.05941461e+04
   580  2.91564190e-14  1.16158451e+04
   588  3.06527163e-14  1.25508775e+04
   596  2.28479396e-14  9.61125581e+03
   604  1.75927778e-14  7.60044873e+03
   612  1.82773227e-14  8.10656707e+03
   620  1.71718007e-14  7.81648741e+03
   628  1.57300524e-14  7.34603446e+03
   636  1.57811606e-14  7.55871538e+03
   644  1.11207438e-14  5.46124831e+03
   652  1.06113399e-14  5.34125741e+03
   660  1.38386464e-14  7.13758860e+03
   668  1.27237325e-14  6.72248150e+03
   676  9.42757157e-15  5.10091054e+03
   684  1.11492397e-14  6.17595938e+03
   692  1.44559420e-14  8.19592981e+03
   700  1.24872655e-14  7.24429134e+03
   708  1.09489961e-14  6.49779935e+03
   716  1.15211397e-14  6.99262318e+03
   724  1.25776354e-14  7.80527267e+03
   732  1.72859028e-14  1.09652775e+04
   740  1.60281537e-14  1.03907269e+04
   748  1.52344737e-14  1.00907483e+04
   756  1.59663593e-14  1.08027936e+04
   764  1.22523680e-14  8.46617674e+03
   772  1.81733900e-14  1.28216892e+04
   780  1.26217642e-14  9.09029970e+03
   788  1.93338540e-14  1.42113115e+04
   796  1.54667488e-14  1.16006660e+04
   804  1.83349853e-14  1.40295906e+04
   812  1.81710912e-14  1.41820851e+04
   820  1.62718688e-14  1.29511087e+04
   828  1.96415065e-14  1.59394072e+04
   836  1.35839402e-14  1.12375077e+04
   844  1.78240110e-14  1.50285507e+04
   852  1.02895792e-14  8.84094615e+03
   860  1.57761767e-14  1.38107056e+04
   868  9.82894914e-15  8.76514478e+03
   876  1.36189074e-14  1.23696802e+04
   884  7.18280128e-15  6.64357575e+03
   892  1.14365762e-14  1.07702267e+04
   900  6.98565139e-15  6.69709892e+03
   908  9.19434190e-15  8.97186821e+03
   916  4.85020256e-15  4.81656239e+03
   924  7.98212170e-15  8.06574623e+03
   932  4.56459830e-15  4.69259015e+03
   940  5.13960958e-15  5.37477280e+03
   948  5.25381249e-15  5.58806723e+03
   956  4.46416560e-15  4.82861558e+03
   964  3.25314163e-15  3.57783100e+03
   972  4.20433528e-15  4.70098593e+03
   980  3.63798957e-15  4.13493833e+03
   988  3.43383472e-15  3.96684406e+03
   996  2.40408766e-15  2.82239179e+03
  1004  3.75521723e-15  4.47968364e+03
  1012  3.78388549e-15  4.58606755e+03
  1020  2.93633098e-15  3.61529238e+03
  1028  3.72221175e-15  4.65502555e+03
  1036  4.66140569e-15  5.92062996e+03
  1044  5.35596593e-15  6.90823495e+03
  1052  4.62890461e-15  6.06226402e+03
  1060  2.61967174e-15  3.48321777e+03
  1068  4.16520829e-15  5.62209508e+03
  1076  4.55671242e-15  6.24298224e+03
  1084  6.60890935e-15  9.18969970e+03
  1092  5.74847422e-15  8.11162552e+03
  1100  3.48982021e-15  4.99684137e+03
  1108  5.26947497e-15  7.65510509e+03
  1116  3.84153201e-15  5.66153672e+03
  1124  6.30791789e-15  9.43012326e+03
  1132  4.88391871e-15  7.40554913e+03
  1140  3.50234423e-15  5.38594394e+03
  1148  5.44469772e-15  8.49079185e+03
  1156  3.82262962e-15  6.04457705e+03
  1164  4.91398075e-15  7.87816117e+03
  1172  3.43190285e-15  5.57793069e+03
  1180  2.31737965e-15  3.81804989e+03
  1188  4.71121462e-15  7.86762566e+03
  1196  2.59822317e-15  4.39758543e+03
  1204  2.41094524e-15  4.13536059e+03
  1212  3.12993878e-15  5.44016120e+03
