# ell  C_l  D_l[muK^2]
     2  7.99940456e-10  5.67441919e+03
     3  3.94567086e-10  5.59776426e+03
     4  2.34282076e-10  5.53964028e+03
     5  1.55067296e-10  5.49988960e+03
     6  1.10135430e-10  5.46875976e+03
     7  8.22019616e-11  5.44230294e+03
     8  6.36567027e-11  5.41862555e+03
     9  5.07192247e-11  5.39669185e+03
    10  4.13374669e-11  5.37587361e+03
    11  3.43189983e-11  5.35575915e+03
    12  2.89324559e-11  5.33608087e+03
    13  2.47089723e-11  5.31665616e+03
    14  2.13366791e-11  5.29734947e+03
    15  1.86016193e-11  5.27806213e+03
    16  1.63530834e-11  5.25873226e+03
    17  1.44823867e-11  5.23930970e+03
    18  1.29095497e-11  5.21975002e+03
    19  1.15747118e-11  5.20003524e+03
    20  1.04323056e-11  5.18014712e+03
    21  9.44717105e-12  5.16007791e+03
    22  8.59182055e-12  5.13982366e+03
    23  7.84450908e-12  5.11937982e+03
    24  7.18786552e-12  5.09874976e+03
    25  6.60786743e-12  5.07793553e+03
    26  6.09309542e-12  5.05693762e+03
    27  5.63418682e-12  5.03576603e+03
    28  5.22339876e-12  5.01443164e+03
    29  4.85427964e-12  4.99294231e+03
    30  4.52142604e-12  4.97131044e+03
    32  3.94695816e-12  4.92763970e+03
    34  3.47114369e-12  4.88350974e+03
    36  3.07283484e-12  4.83900363e+03
    38  2.73626094e-12  4.79422286e+03
    40  2.44944607e-12  4.74924129e+03
    42  2.20319518e-12  4.70417232e+03
    44  1.99031728e-12  4.65907829e+03
    46  1.80515808e-12  4.61406207e+03
    48  1.64320092e-12  4.56920340e+03
    50  1.50080576e-12  4.52456855e+03
    52  1.37502263e-12  4.48024295e+03
    54  1.26343540e-12  4.43631110e+03
    56  1.16403869e-12  4.39281387e+03
    58  1.07517762e-12  4.34983442e+03
    60  9.95462942e-13  4.30743455e+03
    62  9.23728110e-13  4.26568619e+03
    64  8.58979827e-13  4.22463117e+03
    66  8.00374214e-13  4.18431461e+03
    68  7.47192311e-13  4.14479353e+03
    70  6.98814907e-13  4.10611448e+03
    72  6.54706612e-13  4.06831515e+03
    74  6.14404836e-13  4.03143918e+03
    76  5.77505215e-13  3.99551469e+03
    78  5.43656165e-13  3.96057750e+03
    80  5.12549458e-13  3.92665991e+03
    82  4.83913043e-13  3.89378329e+03
    84  4.57507839e-13  3.86197320e+03
    86  4.33121940e-13  3.83124912e+03
    88  4.10567513e-13  3.80162929e+03
    90  3.89677143e-13  3.77312627e+03
    92  3.70301530e-13  3.74574999e+03
    94  3.52307382e-13  3.71950979e+03
    96  3.35575657e-13  3.69441706e+03
    98  3.19998688e-13  3.67047248e+03
   100  3.05479832e-13  3.64767739e+03
   104  2.79275858e-13  3.60552522e+03
   108  2.56362155e-13  3.56793284e+03
   112  2.36243788e-13  3.53483680e+03
   116  2.18510195e-13  3.50613036e+03
   120  2.02820323e-13  3.48169393e+03
   124  1.88887795e-13  3.46137059e+03
   128  1.76471796e-13  3.44498622e+03
   132  1.65368590e-13  3.43234631e+03
   136  1.55404846e-13  3.42323361e+03
   140  1.46432937e-13  3.41742054e+03
   144  1.38326277e-13  3.41466173e+03
   148  1.30976216e-13  3.41470293e+03
   152  1.24289208e-13  3.41728297e+03
   156  1.18184495e-13  3.42213596e+03
   160  1.12591833e-13  3.42898237e+03
   164  1.07450617e-13  3.43755149e+03
   168  1.02707976e-13  3.44756659e+03
   172  9.83178213e-14  3.45875102e+03
   176  9.42400179e-14  3.47083364e+03
   180  9.04394861e-14  3.48354697e+03
   184  8.68854189e-14  3.49662417e+03
   188  8.35510672e-14  3.50981446e+03
   192  8.04128161e-14  3.52286754e+03
   196  7.74499143e-14  3.53553991e+03
   200  7.46442498e-14  3.54760220e+03
   204  7.19799541e-14  3.55883701e+03
   208  6.94429189e-14  3.56902913e+03
   212  6.70208454e-14  3.57797968e+03
   216  6.47028671e-14  3.58549825e+03
   220  6.24795664e-14  3.59141395e+03
   224  6.03424137e-14  3.59555320e+03
   228  5.82841163e-14  3.59776713e+03
   232  5.62981299e-14  3.59791070e+03
   236  5.43787967e-14  3.59585729e+03
   240  5.25210250e-14  3.59148438e+03
   244  5.07205145e-14  3.58469380e+03
   248  4.89732474e-14  3.57538188e+03
