# ell  Dl_TT  Dl_EE  Dl_TE
       2    3.568860e+02    1.432446e-02    1.595709e+00
       3    6.792770e+02    3.144229e-02    3.976001e+00
       4    8.166538e+02    3.101862e-02    4.522482e+00
       5    8.091482e+02    2.128548e-02    3.690014e+00
       6    7.677704e+02    1.341145e-02    2.479838e+00
       7    7.336797e+02    1.048694e-02    1.345627e+00
       8    7.100231e+02    1.083178e-02    4.715349e-01
       9    6.972087e+02    1.130693e-02   -8.781104e-02
      10    6.924236e+02    1.021695e-02   -3.879368e-01
      11    6.987679e+02    8.107759e-03   -4.960584e-01
      12    7.096486e+02    6.773474e-03   -4.499696e-01
      13    7.303468e+02    7.045446e-03   -3.353904e-01
      14    7.529528e+02    8.607877e-03   -2.321064e-01
      15    7.858816e+02    1.026456e-02   -1.895460e-01
      16    8.182285e+02    1.201400e-02   -1.665925e-01
      17    8.608385e+02    1.472889e-02   -1.573373e-01
      18    8.986412e+02    1.793108e-02   -1.949839e-01
      19    9.491731e+02    2.135217e-02   -2.877427e-01
      20    9.907684e+02    2.398991e-02   -3.866412e-01
      21    1.047557e+03    2.645490e-02   -3.560312e-01
      22    1.092503e+03    3.297471e-02   -3.073891e-01
      23    1.152426e+03    4.309494e-02   -3.928844e-01
      24    1.201981e+03    4.926132e-02   -4.529757e-01
      25    1.260823e+03    4.759992e-02   -4.934718e-01
      26    1.314126e+03    4.512648e-02   -4.026079e-01
      27    1.371846e+03    5.074477e-02   -1.661342e-01
      28    1.426121e+03    6.425813e-02    1.518465e-03
      29    1.481377e+03    8.011499e-02    4.962793e-02
      30    1.546015e+03    9.475505e-02   -2.139091e-01
      32    1.661332e+03    1.150215e-01   -3.583641e-01
      34    1.767419e+03    1.445776e-01   -2.504028e-01
      36    1.875543e+03    1.830719e-01   -9.309926e-01
      38    1.970282e+03    1.965905e-01   -1.682127e+00
      40    2.058767e+03    2.565748e-01   -1.980904e+00
      42    2.140163e+03    4.064348e-01   -2.924391e+00
      44    2.215019e+03    4.932625e-01   -3.608176e+00
      46    2.294838e+03    4.265628e-01   -3.441273e+00
      48    2.381404e+03    5.312048e-01   -3.747138e+00
      50    2.470796e+03    9.806563e-01   -4.436342e+00
      52    2.543484e+03    1.533304e+00   -5.479838e+00
      54    2.573655e+03    1.699972e+00   -6.283548e+00
      56    2.581822e+03    1.399186e+00   -6.713293e+00
      58    2.604002e+03    1.000388e+00   -7.837920e+00
      60    2.674959e+03    7.775262e-01   -7.591156e+00
      62    2.789376e+03    6.782098e-01   -7.290461e+00
      64    2.832635e+03    6.666061e-01   -8.189069e+00
      66    2.788379e+03    7.071477e-01   -9.541516e+00
      68    2.755055e+03    7.640063e-01   -1.114405e+01
      70    2.823239e+03    8.493583e-01   -1.326565e+01
      72    2.960204e+03    8.930773e-01   -1.372187e+01
      74    3.017164e+03    9.705795e-01   -1.394660e+01
      76    2.962868e+03    9.586538e-01   -1.658366e+01
      78    2.918979e+03    9.391225e-01   -1.805628e+01
      80    3.036583e+03    9.916779e-01   -1.900800e+01
      82    3.211001e+03    1.001837e+00   -2.127312e+01
      84    3.175709e+03    1.095858e+00   -2.211709e+01
      86    3.039226e+03    1.258226e+00   -2.423121e+01
      88    3.135584e+03    1.297084e+00   -2.545169e+01
      90    3.377698e+03    1.189651e+00   -2.828648e+01
      92    3.389002e+03    1.215224e+00   -2.934851e+01
      94    3.215436e+03    1.247096e+00   -3.004433e+01
      96    3.352004e+03    1.439573e+00   -3.209339e+01
      98    3.620475e+03    1.733243e+00   -3.498798e+01
     100    3.524557e+03    1.671273e+00   -3.534087e+01
     104    3.669527e+03    1.376842e+00   -3.759080e+01
     108    3.635651e+03    1.877037e+00   -4.185761e+01
     112    4.059938e+03    2.351481e+00   -4.465571e+01
     116    3.812991e+03    2.194796e+00   -4.683524e+01
     120    4.231016e+03    2.195110e+00   -5.044570e+01
     124    4.434557e+03    2.018353e+00   -5.384289e+01
     128    4.204855e+03    1.955747e+00   -5.857021e+01
     132    4.642030e+03    2.167508e+00   -5.940686e+01
     136    4.920517e+03    2.321035e+00   -6.080075e+01
     140    4.741406e+03    2.171752e+00   -6.475142e+01
     144    4.910597e+03    2.245733e+00   -6.625393e+01
     148    5.395741e+03    1.971461e+00   -6.400824e+01
     152    5.486562e+03    2.246714e+00   -6.369093e+01
