# ell  C_l  D_l[muK^2]
     2  3.54217017e-10  2.51265682e+03
     3  2.58983890e-10  3.67423136e+03
     4  3.00185793e-10  7.09794507e+03
     5  4.35352226e-10  1.54409682e+04
     6  4.83435569e-10  2.40049273e+04
     7  4.30801422e-10  2.85218479e+04
     8  3.47248230e-10  2.95586804e+04
     9  2.73290168e-10  2.90789702e+04
    10  2.16791876e-10  2.81934481e+04
    11  1.74679493e-10  2.72601574e+04
    12  1.42898804e-10  2.63551624e+04
    13  1.18459076e-10  2.54889669e+04
    14  9.93246319e-11  2.46597553e+04
    15  8.41123143e-11  2.38662029e+04
    16  7.18477569e-11  2.31043961e+04
    17  6.18464932e-11  2.23742770e+04
    18  5.35986013e-11  2.16716544e+04
    19  4.67383805e-11  2.09976050e+04
    20  4.09774506e-11  2.03472973e+04
    21  3.61073983e-11  1.97219874e+04
    22  3.19582624e-11  1.91181639e+04
    23  2.84031357e-11  1.85360790e+04
    24  2.53379123e-11  1.79735798e+04
    25  2.26815042e-11  1.74300131e+04
    26  2.03684500e-11  1.69047050e+04
    27  1.83443625e-11  1.63959628e+04
    28  1.65670446e-11  1.59042640e+04
    29  1.49979473e-11  1.54263642e+04
    30  1.36107523e-11  1.49650297e+04
    32  1.12791399e-11  1.40816131e+04
    34  9.41782242e-12  1.32498195e+04
    36  7.91596042e-12  1.24658054e+04
    38  6.69255276e-12  1.17260708e+04
    40  5.68867783e-12  1.10298014e+04
    42  4.85877137e-12  1.03742501e+04
    44  4.16852490e-12  9.75798384e+03
    46  3.59215479e-12  9.18170291e+03
    48  3.10865374e-12  8.64414757e+03
    50  2.69958578e-12  8.13860211e+03
    52  2.35277249e-12  7.66605007e+03
    54  2.05945222e-12  7.23137151e+03
    56  1.80802877e-12  6.82308409e+03
    58  1.59308330e-12  6.44511982e+03
    60  1.41057576e-12  6.10365539e+03
    62  1.25316034e-12  5.78697204e+03
    64  1.12075757e-12  5.51210542e+03
    66  1.00293873e-12  5.24331131e+03
    68  9.03099806e-13  5.00963699e+03
    70  8.15992239e-13  4.79462804e+03
    72  7.41009359e-13  4.60459623e+03
    74  6.77329666e-13  4.44432270e+03
    76  6.21180950e-13  4.29768866e+03
    78  5.72265976e-13  4.16900220e+03
    80  5.29297146e-13  4.05496456e+03
    82  4.91322098e-13  3.95339990e+03
    84  4.59490302e-13  3.87870782e+03
    86  4.31537618e-13  3.81723475e+03
    88  4.06040029e-13  3.75970728e+03
    90  3.83378361e-13  3.71213705e+03
    92  3.63015580e-13  3.67204965e+03
    94  3.45437519e-13  3.64698073e+03
    96  3.30278177e-13  3.63609608e+03
    98  3.15171636e-13  3.61510487e+03
   100  3.01397931e-13  3.59893618e+03
   104  2.79438555e-13  3.60762567e+03
   108  2.58561645e-13  3.59854436e+03
   112  2.42088007e-13  3.62228189e+03
   116  2.25324777e-13  3.61547453e+03
   120  2.12140770e-13  3.64169242e+03
   124  1.98115450e-13  3.63046745e+03
   128  1.86647505e-13  3.64363087e+03
   132  1.75098841e-13  3.63430479e+03
   136  1.64139915e-13  3.61564833e+03
   140  1.54814231e-13  3.61302139e+03
   144  1.45358335e-13  3.58825202e+03
   148  1.36927050e-13  3.56984813e+03
   152  1.29587598e-13  3.56296013e+03
   156  1.22113880e-13  3.53591476e+03
   160  1.15621420e-13  3.52124840e+03
   164  1.10507998e-13  3.53536295e+03
   168  1.05325172e-13  3.53541719e+03
   172  1.00448092e-13  3.53369244e+03
   176  9.70103921e-14  3.57286575e+03
   180  9.39773568e-14  3.61981863e+03
   184  9.10912106e-14  3.66588241e+03
   188  8.83935191e-14  3.71323626e+03
   192  8.64301442e-14  3.78648534e+03
   196  8.52309895e-14  3.89074110e+03
   200  8.40551112e-14  3.99487031e+03
   204  8.31272917e-14  4.10998431e+03
   208  8.19369122e-14  4.21115977e+03
   212  8.10660133e-14  4.32779603e+03
   216  8.02882202e-14  4.44915791e+03
   220  7.99086817e-14  4.59326418e+03
   224  7.94609943e-14  4.73474981e+03
   228  7.92240554e-14  4.89034956e+03
   232  7.89001229e-14  5.04236280e+03
   236  7.84833082e-14  5.18979441e+03
   240  7.80194865e-14  5.33511612e+03
   244  7.73629004e-14  5.46765569e+03
   248  7.67363197e-14  5.60227597e+03
   252  7.58635234e-14  5.71829525e+03
   256  7.50722387e-14  5.83935610e+03
   260  7.40234629e-14  5.93875976e+03
   264  7.29689814e-14  6.03532399e+03
   268  7.18454023e-14  6.12348361e+03
   272  7.05001378e-14  6.18919294e+03
   276  6.91771198e-14  6.25264586e+03
   280  6.76368751e-14  6.29158966e+03
   284  6.59798212e-14  6.31374211e+03
   288  6.43141478e-14  6.32862488e+03
   292  6.24019608e-14  6.31191602e+03
   296  6.05684868e-14  6.29516892e+03
   300  5.88122284e-14  6.27867335e+03
   304  5.70025594e-14  6.24856488e+03
   308  5.53340976e-14  6.22607764e+03
   312  5.37550148e-14  6.20626651e+03
   316  5.19165094e-14  6.14843144e+03
   320  4.98785007e-14  6.05732542e+03
   324  4.77517941e-14  5.94470857e+03
   328  4.56012960e-14  5.81780864e+03
   332  4.36475705e-14  5.70499012e+03
   336  4.20364630e-14  5.62740082e+03
   340  4.04860776e-14  5.54946995e+03
   344  3.85808769e-14  5.41330051e+03
   348  3.64184492e-14  5.22924060e+03
   352  3.44889895e-14  5.06652679e+03
