# ell  Dl_TT  Dl_EE  Dl_TE
       2    1.990622e+02    3.754651e-02   -1.937324e-01
       3    2.387422e+02    8.747052e-02    1.413678e+00
       4    2.872359e+02    9.293325e-02    2.390458e+00
       5    2.985267e+02    6.697377e-02    2.357328e+00
       6    2.922667e+02    3.868096e-02    1.951443e+00
       7    2.852695e+02    2.052341e-02    1.512926e+00
       8    2.806880e+02    1.224022e-02    1.147568e+00
       9    2.785301e+02    9.236151e-03    8.837185e-01
      10    2.784161e+02    7.828245e-03    7.185027e-01
      11    2.810370e+02    6.642440e-03    6.338833e-01
      12    2.839472e+02    5.719345e-03    6.038720e-01
      13    2.900286e+02    5.322740e-03    6.052697e-01
      14    2.948873e+02    5.411961e-03    6.264375e-01
      15    3.049119e+02    5.745845e-03    6.576342e-01
      16    3.092255e+02    6.189426e-03    6.886619e-01
      17    3.246732e+02    6.780542e-03    7.105342e-01
      18    3.272238e+02    7.648154e-03    7.305367e-01
      19    3.484904e+02    8.932110e-03    7.499385e-01
      20    3.495362e+02    1.062067e-02    7.760336e-01
      21    3.742599e+02    1.260497e-02    8.000349e-01
      22    3.754377e+02    1.488181e-02    8.311966e-01
      23    4.012337e+02    1.746823e-02    8.533968e-01
      24    4.033160e+02    2.032747e-02    8.637349e-01
      25    4.295236e+02    2.353153e-02    8.567941e-01
      26    4.371481e+02    2.716512e-02    8.377104e-01
      27    4.569700e+02    3.108673e-02    8.307678e-01
      28    4.783860e+02    3.518357e-02    8.084536e-01
      29    4.887523e+02    3.964713e-02    7.747589e-01
      30    5.152941e+02    4.471748e-02    7.128470e-01
      32    5.594914e+02    5.619467e-02    5.771647e-01
      34    5.994184e+02    6.943443e-02    3.589989e-01
      36    6.348544e+02    8.511583e-02    1.167324e-01
      38    6.661064e+02    1.027199e-01   -1.397103e-01
      40    6.977165e+02    1.227464e-01   -5.018526e-01
      42    7.311429e+02    1.451455e-01   -9.030773e-01
      44    7.766111e+02    1.702062e-01   -1.412536e+00
      46    8.424975e+02    1.979297e-01   -1.978648e+00
      48    9.132640e+02    2.285364e-01   -2.555668e+00
      50    9.761786e+02    2.621203e-01   -3.223887e+00
      52    1.012883e+03    2.982618e-01   -3.955141e+00
      54    1.030964e+03    3.375735e-01   -4.753468e+00
      56    1.045881e+03    3.802428e-01   -5.671264e+00
      58    1.107098e+03    4.260068e-01   -6.684588e+00
      60    1.200914e+03    4.745176e-01   -7.709557e+00
      62    1.291630e+03    5.263385e-01   -8.799520e+00
      64    1.338420e+03    5.812694e-01   -1.000983e+01
      66    1.323410e+03    6.392638e-01   -1.122098e+01
      68    1.341898e+03    7.000827e-01   -1.254432e+01
      70    1.448594e+03    7.638879e-01   -1.395378e+01
      72    1.591150e+03    8.304751e-01   -1.552690e+01
      74    1.650548e+03    8.995001e-01   -1.705816e+01
      76    1.629316e+03    9.710901e-01   -1.852552e+01
      78    1.624169e+03    1.045480e+00   -2.022751e+01
      80    1.780293e+03    1.121973e+00   -2.213220e+01
      82    1.946074e+03    1.199873e+00   -2.388178e+01
      84    1.912513e+03    1.280091e+00   -2.549788e+01
      86    1.837212e+03    1.361979e+00   -2.752996e+01
      88    1.979927e+03    1.445349e+00   -2.962124e+01
      90    2.203905e+03    1.529272e+00   -3.154369e+01
      92    2.206988e+03    1.614589e+00   -3.347601e+01
      94    2.103146e+03    1.700624e+00   -3.562442e+01
      96    2.240029e+03    1.786223e+00   -3.789656e+01
      98    2.518856e+03    1.872278e+00   -3.976718e+01
     100    2.425605e+03    1.957257e+00   -4.171351e+01
     104    2.676008e+03    2.127190e+00   -4.656397e+01
     108    2.517409e+03    2.291686e+00   -5.057999e+01
     112    3.051245e+03    2.449043e+00   -5.419655e+01
     116    2.921924e+03    2.596552e+00   -5.935733e+01
     120    3.118761e+03    2.733043e+00   -6.306704e+01
     124    3.440214e+03    2.854148e+00   -6.585822e+01
     128    3.379357e+03    2.960222e+00   -7.024727e+01
     132    3.619852e+03    3.049003e+00   -7.352353e+01
     136    3.844416e+03    3.111626e+00   -7.586009e+01
     140    3.823113e+03    3.158881e+00   -7.873087e+01
     144    3.997164e+03    3.184669e+00   -8.000700e+01
     148    4.368042e+03    3.199037e+00   -8.073331e+01
     152    4.477204e+03    3.169003e+00   -8.291959e+01
     156    4.303072e+03    3.109800e+00   -8.421059e+01
     160    4.418844e+03    3.062186e+00   -8.373255e+01
     164    4.749792e+03    2.998086e+00   -8.009860e+01
     168    5.114165e+03    2.916168e+00   -7.730161e+01
     172    5.187181e+03    2.773498e+00   -7.595211e+01
     176    5.132512e+03    2.618665e+00   -7.589187e+01
     180    5.053667e+03    2.460372e+00   -7.386274e+01
     184    5.065372e+03    2.327858e+00   -7.072779e+01
     188    5.168260e+03    2.207091e+00   -6.361252e+01
     192    5.338099e+03    2.141192e+00   -5.587014e+01
     196    5.466660e+03    2.075871e+00   -4.568355e+01
     200    5.725493e+03    2.006134e+00   -3.828958e+01
     204    5.728122e+03    1.906768e+00   -2.842081e+01
     208    5.873128e+03    1.876236e+00   -2.025695e+01
     212    5.872638e+03    1.850104e+00   -1.049304e+01
     216    5.903406e+03    1.824026e+00   -6.246317e-01
     220    5.910081e+03    1.893770e+00    8.913956e+00
     224    5.826080e+03    1.981851e+00    2.087959e+01
     228    5.861628e+03    2.197583e+00    3.007465e+01
     232    5.803954e+03    2.412825e+00    4.140650e+01
     236    5.719360e+03    2.762902e+00    5.199930e+01
     240    5.730601e+03    3.133796e+00    6.170408e+01
     244    5.450878e+03    3.498626e+00    7.076731e+01
     248    5.275114e+03    3.837974e+00    7.677775e+01
     252    5.138797e+03    4.059869e+00    8.028940e+01
     256    5.073486e+03    4.218711e+00    8.413892e+01
     260    4.983351e+03    4.342574e+00    9.179799e+01
     264    4.944067e+03    4.814337e+00    1.044521e+02
     268    4.939371e+03    5.760759e+00    1.228218e+02
     272    4.978866e+03    7.329827e+00    1.408996e+02
     276    4.921146e+03    9.155923e+00    1.530049e+02
     280    4.488113e+03    1.054663e+01    1.549955e+02
     284    4.170731e+03    1.085366e+01    1.510135e+02
     288    4.183925e+03    1.043708e+01    1.458741e+02
     292    4.173050e+03    1.079245e+01    1.556439e+02
     296    4.089649e+03    1.293671e+01    1.765037e+02
     300    3.776748e+03    1.605635e+01    1.900740e+02
     304    3.666052e+03    1.758852e+01    1.804337e+02
     308    3.485351e+03    1.678950e+01    1.641362e+02
     312    3.427055e+03    1.628000e+01    1.699307e+02
     316    3.245196e+03    1.907514e+01    1.894247e+02
     320    3.132307e+03    2.287874e+01    1.936929e+02
     324    2.922038e+03    2.307251e+01    1.689439e+02
     328    2.815480e+03    2.108631e+01    1.643239e+02
     332    2.788297e+03    2.290641e+01    1.794387e+02
     336    2.443852e+03    2.760875e+01    1.771556e+02
     340    2.286155e+03    2.755215e+01    1.559122e+02
     344    2.371474e+03    2.485469e+01    1.525503e+02
     348    2.194333e+03    2.778655e+01    1.665142e+02
     352    2.092050e+03    3.154201e+01    1.479552e+02
     356    1.955702e+03    2.886919e+01    1.240293e+02
     360    1.929919e+03    2.816532e+01    1.360874e+02
     364    1.648817e+03    3.308454e+01    1.271069e+02
     368    1.591857e+03    3.221491e+01    1.014604e+02
     372    1.492936e+03    2.916365e+01    1.123569e+02
     376    1.511366e+03    3.328939e+01    1.075383e+02
     380    1.440261e+03    3.313316e+01    7.716377e+01
     384    1.403752e+03    2.926941e+01    8.814736e+01
     388    1.388924e+03    3.283012e+01    7.661354e+01
     392    1.353170e+03    3.215418e+01    4.594239e+01
     396    1.213229e+03    2.875301e+01    5.791610e+01
     400    1.260040e+03    3.207480e+01    4.035311e+01
     404    1.282248e+03    2.984661e+01    1.734285e+01
     408    1.085527e+03    2.819198e+01    3.132890e+01
     412    1.163953e+03    3.042075e+01    4.934468e+00
     416    1.111461e+03    2.663101e+01    3.654141e+00
     420    9.618834e+02    2.746115e+01    3.036430e+00
     424    1.024705e+03    2.693843e+01   -1.546427e+01
     428    1.057542e+03    2.387463e+01   -4.760994e+00
     432    1.045606e+03    2.534752e+01   -2.981063e+01
     436    9.760491e+02    2.244749e+01   -2.218904e+01
     440    9.625932e+02    2.214458e+01   -2.439687e+01
     444    1.100514e+03    2.083366e+01   -3.995776e+01
     448    1.064531e+03    1.925790e+01   -3.205074e+01
     452    1.163557e+03    1.920474e+01   -5.095686e+01
     456    1.027837e+03    1.679009e+01   -3.489358e+01
     460    1.244140e+03    1.639801e+01   -4.838248e+01
     464    1.315700e+03    1.468209e+01   -4.811626e+01
     468    1.168104e+03    1.429688e+01   -4.865604e+01
     472    1.387354e+03    1.271325e+01   -4.394339e+01
     476    1.307849e+03    1.173033e+01   -4.054697e+01
     480    1.648798e+03    1.028516e+01   -4.101254e+01
     484    1.401655e+03    1.007864e+01   -3.677139e+01
     488    1.616006e+03    9.318896e+00   -2.978004e+01
     492    1.403657e+03    9.331544e+00   -1.703619e+01
     496    1.589530e+03    8.541194e+00   -1.160388e+01
     500    1.463386e+03    9.459390e+00    1.443324e-01
     508    1.355495e+03    1.152097e+01    1.983450e-01
     516    1.492085e+03    1.257343e+01    3.359638e+00
     524    1.706354e+03    1.250331e+01    1.845704e+01
     532    1.712715e+03    1.458619e+01    3.643205e+01
     540    1.504293e+03    1.933592e+01    5.384089e+01
     548    1.451638e+03    2.336871e+01    4.605138e+01
     556    1.693050e+03    2.421554e+01    4.722054e+01
     564    1.497512e+03    2.798373e+01    6.460253e+01
     572    1.371022e+03    3.272634e+01    3.479853e+01
     580    1.474195e+03    3.147152e+01    3.065014e+01
     588    1.379759e+03    3.265006e+01    4.817769e+01
     596    1.404721e+03    3.396530e+01    3.851528e+01
     604    1.689692e+03    3.456932e+01    6.382819e+01
     612    1.374036e+03    4.395356e+01    8.440494e+01
     620    1.584325e+03    5.143839e+01    6.887647e+01
     628    1.165669e+03    6.156125e+01    7.091909e+01
     636    1.301524e+03    6.143934e+01    7.146026e-01
     644    1.210846e+03    5.536208e+01   -3.280278e+00
     652    1.319750e+03    4.616142e+01   -1.896910e+01
     660    1.283375e+03    4.709412e+01    2.282180e+01
     668    1.254441e+03    5.538424e+01   -5.134763e+00
     676    1.042509e+03    6.192770e+01   -2.063735e+01
     684    1.403227e+03    5.235258e+01   -8.202314e+01
     692    1.187289e+03    4.349823e+01   -4.763054e+01
     700    1.360614e+03    3.884639e+01   -1.807391e+01
     708    1.085345e+03    4.821298e+01   -6.490991e+01
     716    1.354495e+03    4.440244e+01   -8.185111e+01
     724    1.474549e+03    3.145769e+01   -8.410987e+01
     732    1.083543e+03    3.256390e+01   -4.407739e+01
     740    1.428097e+03    3.141672e+01   -6.649545e+01
     748    1.685779e+03    2.621875e+01   -1.108327e+02
     756    1.505377e+03    2.339610e+01   -2.870236e+01
     764    1.409592e+03    2.327574e+01   -2.138715e+01
     772    1.669134e+03    2.063963e+01   -7.503811e+01
     780    1.812238e+03    1.999998e+01   -2.562463e+01
     788    1.587796e+03    1.898542e+01    1.368019e+01
     796    1.892306e+03    1.506368e+01   -2.582828e+01
     804    1.945468e+03    2.067576e+01    1.874510e+01
     812    1.473517e+03    2.544484e+01    4.030138e+01
     820    1.858456e+03    1.702186e+01    3.015101e+01
     828    2.117871e+03    2.173249e+01    9.568781e+01
     836    1.408037e+03    2.961499e+01    4.960259e+01
     844    1.746218e+03    2.535832e+01    5.552515e+01
     852    1.981939e+03    3.685877e+01    1.746210e+02
     860    1.410389e+03    3.455800e+01    8.957377e+01
     868    1.942860e+03    2.903239e+01    1.009388e+02
     876    1.567785e+03    4.613691e+01    1.588278e+02
     884    1.239008e+03    4.079014e+01    6.858971e+01
     892    1.788292e+03    5.225079e+01    1.845912e+02
     900    1.236581e+03    5.558038e+01    1.391211e+02
     908    1.452089e+03    4.340812e+01    1.164261e+02
     916    1.370544e+03    5.886816e+01    1.784705e+02
     924    1.021320e+03    4.267436e+01    5.555959e+01
     932    1.423375e+03    5.820430e+01    1.351914e+02
     940    8.232481e+02    5.783009e+01    6.481743e+01
     948    1.136880e+03    5.400404e+01    8.787845e+01
     956    8.012614e+02    6.967519e+01    9.759226e+01
     964    9.511507e+02    4.841294e+01    5.546095e+01
     972    8.316542e+02    6.934373e+01    1.057007e+02
     980    8.131302e+02    4.584628e+01    3.334489e+01
     988    7.150651e+02    6.060511e+01    7.779685e+01
     996    7.666554e+02    4.303273e+01    9.430069e+00
    1004    6.455953e+02    4.654639e+01    4.098127e+01
    1012    7.941377e+02    3.772447e+01    5.889107e+00
    1020    6.836895e+02    3.591751e+01    2.215632e+01
    1028    7.184643e+02    3.828461e+01    4.000228e-01
    1036    7.023412e+02    3.184336e+01   -6.186422e+00
    1044    8.056436e+02    3.441227e+01   -2.565362e+01
    1052    7.868752e+02    2.274335e+01   -8.995838e+00
    1060    7.249162e+02    2.885946e+01   -2.039835e+01
    1068    8.489909e+02    2.329945e+01    1.657832e+00
    1076    8.330524e+02    2.562126e+01   -4.903969e+01
    1084    8.231685e+02    2.096912e+01    1.278279e+01
    1092    8.656512e+02    1.924790e+01   -1.723929e+01
    1100    6.972402e+02    2.320458e+01    2.913570e+00
    1108    9.717841e+02    2.207913e+01   -8.179439e+00
    1116    7.304955e+02    1.765458e+01    7.523538e+00
    1124    8.040239e+02    2.398308e+01    1.257565e+00
    1132    7.695760e+02    2.351818e+01    1.977153e+01
    1140    8.882064e+02    1.499991e+01   -1.388895e+00
    1148    6.373368e+02    2.782226e+01    1.533787e+01
    1156    1.071971e+03    2.032432e+01    3.037395e+01
    1164    7.365805e+02    1.871716e+01    1.768083e+01
    1172    9.797739e+02    2.970245e+01    5.402277e+01
    1180    8.255544e+02    2.934114e+01    5.211115e+01
    1188    9.732280e+02    2.898697e+01    8.971920e+01
    1196    7.978450e+02    3.449812e+01    2.841099e+01
    1204    8.037474e+02    4.530581e+01    7.659564e+01
    1212    6.904638e+02    2.910878e+01    4.292666e+01
    1220    7.580821e+02    3.186581e+01    3.548683e+01
    1228    7.456186e+02    3.273493e+01    3.124935e+01
    1236    5.486247e+02    3.580143e+01    4.437985e+01
    1244    7.267289e+02    3.901572e+01    9.592119e+01
    1252    5.939952e+02    3.815649e+01    3.031395e+01
    1260    6.866702e+02    5.776723e+01    5.197689e+01
    1268    4.650624e+02    4.088992e+01    2.798902e+00
    1276    5.021248e+02    4.355479e+01    4.017900e+01
    1284    5.675151e+02    2.783508e+01    2.380131e+01
    1292    5.770038e+02    3.480391e+01    1.291487e+01
    1300    5.264535e+02    4.731597e+01    2.340288e+01
    1308    4.401705e+02    3.924159e+01   -3.059788e+00
    1316    3.732616e+02    5.067261e+01   -4.389763e+00
    1324    5.473345e+02    2.572979e+01   -3.956540e+00
    1332    5.563144e+02    3.342760e+01   -2.676598e+01
    1340    5.601258e+02    3.054200e+01    1.942274e+01
    1348    4.662993e+02    3.148095e+01   -3.383025e+01
    1356    4.044673e+02    4.049805e+01   -3.059230e+01
    1364    5.735151e+02    2.032787e+01   -3.934174e+01
    1372    5.664303e+02    2.908532e+01   -2.557874e+01
    1380    4.523798e+02    2.308612e+01    1.138284e+00
    1388    6.122852e+02    2.737084e+01   -3.428490e+01
    1396    6.830841e+02    2.404986e+01   -3.372262e+01
    1404    7.006328e+02    1.833601e+01   -1.234133e+01
    1412    6.471697e+02    1.814223e+01   -2.857810e+01
