# ell  Dl_TT  Dl_EE  Dl_TE
       2    1.912592e+02    6.171918e-03   -9.843233e-02
       3    2.155848e+02    1.433979e-02    4.903414e-01
       4    2.515815e+02    1.521444e-02    8.583234e-01
       5    2.600411e+02    1.095425e-02    8.569370e-01
       6    2.553532e+02    6.322677e-03    7.145513e-01
       7    2.506515e+02    3.355894e-03    5.557355e-01
       8    2.481817e+02    2.006154e-03    4.213969e-01
       9    2.478769e+02    1.516817e-03    3.238065e-01
      10    2.494192e+02    1.283306e-03    2.624222e-01
      11    2.535397e+02    1.082751e-03    2.308991e-01
      12    2.578420e+02    9.274926e-04    2.195200e-01
      13    2.652292e+02    8.626356e-04    2.201612e-01
      14    2.713364e+02    8.713785e-04    2.278416e-01
      15    2.825529e+02    9.117157e-04    2.367807e-01
      16    2.880173e+02    9.727282e-04    2.460680e-01
      17    3.046026e+02    1.060169e-03    2.526049e-01
      18    3.082444e+02    1.187655e-03    2.577300e-01
      19    3.305975e+02    1.376279e-03    2.608580e-01
      20    3.326831e+02    1.620536e-03    2.667297e-01
      21    3.584810e+02    1.908476e-03    2.704556e-01
      22    3.606667e+02    2.244334e-03    2.788066e-01
      23    3.874972e+02    2.614137e-03    2.834868e-01
      24    3.905362e+02    3.010933e-03    2.815548e-01
      25    4.177604e+02    3.463674e-03    2.727486e-01
      26    4.263232e+02    3.975295e-03    2.607356e-01
      27    4.471296e+02    4.513000e-03    2.527776e-01
      28    4.694489e+02    5.080144e-03    2.359598e-01
      29    4.807124e+02    5.706818e-03    2.186027e-01
      30    5.080734e+02    6.411550e-03    1.879844e-01
      32    5.538234e+02    8.038788e-03    1.202474e-01
      34    5.951156e+02    9.931271e-03    2.418636e-02
      36    6.317681e+02    1.225096e-02   -8.585869e-02
      38    6.640852e+02    1.488556e-02   -1.950791e-01
      40    6.966297e+02    1.788675e-02   -3.554103e-01
      42    7.308757e+02    2.143585e-02   -5.279235e-01
      44    7.770779e+02    2.541443e-02   -7.525846e-01
      46    8.436705e+02    3.008111e-02   -1.001548e+00
      48    9.150799e+02    3.509970e-02   -1.253853e+00
      50    9.785913e+02    4.090780e-02   -1.556798e+00
      52    1.015802e+03    4.740624e-02   -1.869679e+00
      54    1.034289e+03    5.446618e-02   -2.220397e+00
      56    1.049517e+03    6.253296e-02   -2.631738e+00
      58    1.111061e+03    7.112760e-02   -3.086109e+00
      60    1.205231e+03    8.045802e-02   -3.570151e+00
      62    1.296312e+03    9.089415e-02   -4.074141e+00
      64    1.343407e+03    1.018442e-01   -4.612145e+00
      66    1.328528e+03    1.137393e-01   -5.166745e+00
      68    1.347096e+03    1.268798e-01   -5.797231e+00
      70    1.453959e+03    1.405654e-01   -6.482471e+00
      72    1.596807e+03    1.551106e-01   -7.245350e+00
      74    1.656472e+03    1.708904e-01   -7.973503e+00
      76    1.635331e+03    1.873871e-01   -8.664392e+00
      78    1.630142e+03    2.045442e-01   -9.493335e+00
      80    1.786410e+03    2.228981e-01   -1.046523e+01
      82    1.952440e+03    2.421223e-01   -1.134040e+01
      84    1.918937e+03    2.618001e-01   -1.211957e+01
      86    1.843457e+03    2.822723e-01   -1.312328e+01
      88    1.986127e+03    3.039795e-01   -1.422832e+01
      90    2.210376e+03    3.261245e-01   -1.525624e+01
      92    2.213622e+03    3.485871e-01   -1.621675e+01
      94    2.109605e+03    3.715514e-01   -1.727852e+01
      96    2.246397e+03    3.955609e-01   -1.852157e+01
      98    2.525528e+03    4.199354e-01   -1.956652e+01
     100    2.432297e+03    4.441169e-01   -2.053695e+01
     104    2.682533e+03    4.941902e-01   -2.319201e+01
     108    2.523950e+03    5.438739e-01   -2.534918e+01
     112    3.057918e+03    5.935311e-01   -2.748926e+01
     116    2.928230e+03    6.430204e-01   -3.024162e+01
     120    3.125520e+03    6.894569e-01   -3.253084e+01
