# ell  Dl_TT[uK2]  Dl_EE[uK2]  Dl_TE[uK2]
       2    2.665367e+02    1.306718e-01    7.445678e-01
       3    1.102849e+03    2.916188e-01    5.429873e+00
       4    1.238199e+03    5.326331e-01    1.201754e+01
       5    2.210965e+03    8.404859e-01    1.752074e+01
       6    2.114941e+03    1.214959e+00    2.191947e+01
       7    2.153324e+03    1.664039e+00    2.541535e+01
       8    3.877710e+03    2.184199e+00    2.893550e+01
       9    2.154662e+03    2.763675e+00    3.437015e+01
      10    3.759596e+03    3.404378e+00    3.581766e+01
      11    5.745053e+03    4.111438e+00    3.535198e+01
      12    2.742976e+03    4.868861e+00    3.791772e+01
      13    4.258504e+03    5.664476e+00    3.574827e+01
      14    8.862612e+03    6.453291e+00    3.562187e+01
      15    7.138156e+03    7.090612e+00    5.135891e+01
      16    3.188295e+03    7.437291e+00    6.644093e+01
      17    5.999268e+03    7.544978e+00    4.982871e+01
      18    1.308047e+04    7.620933e+00    3.051094e-01
      19    1.753282e+04    7.834442e+00   -5.238883e+01
      20    1.645918e+04    8.223676e+00   -8.271976e+01
      21    1.277964e+04    8.733948e+00   -8.566958e+01
      22    8.977428e+03    9.297990e+00   -6.885329e+01
      23    6.660839e+03    9.862999e+00   -4.143298e+01
      24    5.499378e+03    1.042918e+01   -1.128443e+01
      25    5.140579e+03    1.097324e+01    2.030595e+01
      26    5.374223e+03    1.152164e+01    4.858619e+01
      27    5.558084e+03    1.203702e+01    7.633842e+01
      28    6.305666e+03    1.256088e+01    1.009759e+02
      29    6.551921e+03    1.307974e+01    1.254266e+02
      30    7.467047e+03    1.361562e+01    1.474940e+02
      32    8.559083e+03    1.464180e+01    1.864517e+02
      34    9.483756e+03    1.567719e+01    2.212989e+02
      36    1.031743e+04    1.682645e+01    2.512505e+02
      38    1.122397e+04    1.805164e+01    2.776245e+02
      40    1.227002e+04    1.942423e+01    3.014276e+02
      42    1.327736e+04    2.089797e+01    3.242924e+02
      44    1.394437e+04    2.248595e+01    3.492523e+02
      46    1.426543e+04    2.421757e+01    3.733199e+02
      48    1.467460e+04    2.609368e+01    3.968055e+02
      50    1.549649e+04    2.835110e+01    4.156156e+02
      52    1.637291e+04    3.100380e+01    4.256634e+02
      54    1.669383e+04    3.381103e+01    4.413493e+02
      56    1.670727e+04    3.675205e+01    4.660112e+02
      58    1.740203e+04    3.971102e+01    4.889168e+02
      60    1.873929e+04    4.311362e+01    4.995733e+02
      62    1.919327e+04    4.770234e+01    4.977741e+02
      64    1.869388e+04    5.211941e+01    5.136598e+02
      66    1.938000e+04    5.634199e+01    5.356469e+02
      68    2.093467e+04    6.131759e+01    5.279641e+02
      70    2.102030e+04    6.679826e+01    5.276785e+02
      72    2.109361e+04    7.258722e+01    5.437476e+02
      74    2.259319e+04    7.873264e+01    5.392274e+02
      76    2.253303e+04    8.583579e+01    5.154215e+02
      78    2.266404e+04    9.422053e+01    5.259618e+02
      80    2.482762e+04    9.935736e+01    5.061475e+02
      82    2.478051e+04    1.090362e+02    4.873429e+02
      84    2.447064e+04    1.213708e+02    4.454309e+02
      86    2.695243e+04    1.265374e+02    4.435926e+02
      88    2.608805e+04    1.350170e+02    4.317870e+02
      90    2.827352e+04    1.548652e+02    3.227115e+02
      92    2.877817e+04    1.600052e+02    3.016498e+02
      94    2.771826e+04    1.707925e+02    3.169392e+02
      96    3.234337e+04    1.975756e+02    1.439805e+02
