# ell  D_l_CLASS[muK2]  D_l_mlx[muK2]  residual_pct
     2  1.025544e+03  2.291898e+03  +0.0000
     3  9.707621e+02  4.604504e+03  +0.0000
     4  9.188057e+02  6.043756e+03  +0.0000
     5  8.798002e+02  6.752332e+03  +0.0000
     6  8.529453e+02  6.872911e+03  +0.0000
     7  8.357804e+02  6.548170e+03  +0.0000
     8  8.256582e+02  5.920786e+03  +0.0000
     9  8.208464e+02  5.133438e+03  +0.0000
    10  8.199420e+02  4.328804e+03  +0.0000
    11  8.220604e+02  3.649560e+03  +0.0000
    12  8.267913e+02  3.238386e+03  +0.0000
    13  8.332369e+02  3.192926e+03  +0.0000
    14  8.408156e+02  3.430696e+03  +0.0000
    15  8.497255e+02  3.824180e+03  +0.0000
    16  8.600199e+02  4.245861e+03  +0.0000
    17  8.707355e+02  4.568224e+03  +0.0000
    18  8.822169e+02  4.693816e+03  +0.0000
    19  8.945783e+02  4.645447e+03  +0.0000
    20  9.073059e+02  4.475994e+03  +0.0000
    21  9.205066e+02  4.238330e+03  +0.0000
    22  9.342382e+02  3.985331e+03  +0.0000
    23  9.484104e+02  3.760277e+03  +0.0000
    24  9.627608e+02  3.568065e+03  +0.0000
    25  9.774385e+02  3.403999e+03  +0.0000
    26  9.925817e+02  3.263380e+03  +0.0000
    27  1.008096e+03  3.141511e+03  +0.0000
    28  1.023755e+03  3.035088e+03  +0.0000
    29  1.039613e+03  2.946386e+03  +0.0000
    30  1.055731e+03  2.879069e+03  +0.0000
    31  1.072094e+03  2.835635e+03  +164.4950
    32  1.088717e+03  2.813900e+03  +158.4603
    33  1.105560e+03  2.810512e+03  +154.2161
    34  1.122540e+03  2.822116e+03  +151.4046
    35  1.139708e+03  2.845359e+03  +149.6569
    36  1.157124e+03  2.876887e+03  +148.6239
    37  1.174809e+03  2.913347e+03  +147.9847
    38  1.192765e+03  2.951386e+03  +147.4407
    39  1.210951e+03  2.987650e+03  +146.7192
    40  1.229275e+03  3.018786e+03  +145.5746
    41  1.247630e+03  3.042095e+03  +143.8300
    42  1.266059e+03  3.057505e+03  +141.4978
    43  1.284639e+03  3.065598e+03  +138.6351
    44  1.303428e+03  3.066957e+03  +135.2993
    45  1.322471e+03  3.062164e+03  +131.5487
    46  1.341777e+03  3.051802e+03  +127.4447
    47  1.361333e+03  3.036453e+03  +123.0500
    48  1.381098e+03  3.016700e+03  +118.4277
    49  1.401005e+03  2.993125e+03  +113.6413
    50  1.420989e+03  2.966312e+03  +108.7498
    51  1.441072e+03  2.936830e+03  +103.7948
    52  1.461299e+03  2.905208e+03  +98.8100
    53  1.481707e+03  2.871962e+03  +93.8279
    54  1.502329e+03  2.837607e+03  +88.8806
    55  1.523186e+03  2.802659e+03  +83.9998
    56  1.544291e+03  2.767636e+03  +79.2172
    57  1.565646e+03  2.733051e+03  +74.5638
    58  1.587242e+03  2.699423e+03  +70.0700
    59  1.609060e+03  2.667266e+03  +65.7655
    60  1.631068e+03  2.637098e+03  +61.6792
    61  1.653236e+03  2.609568e+03  +57.8460
    62  1.675575e+03  2.585867e+03  +54.3272
    63  1.698102e+03  2.567322e+03  +51.1877
    64  1.720833e+03  2.555257e+03  +48.4895
    65  1.743779e+03  2.551000e+03  +46.2915
    66  1.766944e+03  2.555875e+03  +44.6495
    67  1.790330e+03  2.571208e+03  +43.6164
    68  1.813936e+03  2.598325e+03  +43.2424
    69  1.837771e+03  2.638551e+03  +43.5734
    70  1.861847e+03  2.693213e+03  +44.6528
    71  1.886168e+03  2.762836e+03  +46.4788
    72  1.910737e+03  2.844745e+03  +48.8821
    73  1.935555e+03  2.935467e+03  +51.6602
    74  1.960614e+03  3.031525e+03  +54.6212
    75  1.985906e+03  3.129446e+03  +57.5828
    76  2.011420e+03  3.225754e+03  +60.3720
    77  2.037162e+03  3.316976e+03  +62.8234
    78  2.063137e+03  3.399637e+03  +64.7800
    79  2.089351e+03  3.470262e+03  +66.0928
    80  2.115805e+03  3.525376e+03  +66.6210
    81  2.142499e+03  3.562479e+03  +66.2768
    82  2.169430e+03  3.582968e+03  +65.1571
    83  2.196591e+03  3.589214e+03  +63.3993
    84  2.223977e+03  3.583589e+03  +61.1343
    85  2.251590e+03  3.568464e+03  +58.4864
    86  2.279437e+03  3.546210e+03  +55.5739
    87  2.307520e+03  3.519199e+03  +52.5100
    88  2.335842e+03  3.489801e+03  +49.4023
    89  2.364401e+03  3.460388e+03  +46.3537
    90  2.393196e+03  3.433331e+03  +43.4622
    91  2.422224e+03  3.410521e+03  +40.8013
    92  2.451478e+03  3.391928e+03  +38.3626
    93  2.480953e+03  3.377038e+03  +36.1186
    94  2.510650e+03  3.365341e+03  +34.0426
    95  2.540570e+03  3.356324e+03  +32.1091
    96  2.570714e+03  3.349477e+03  +30.2936
    97  2.601081e+03  3.344287e+03  +28.5730
    98  2.631670e+03  3.340243e+03  +26.9249
    99  2.662476e+03  3.336833e+03  +25.3282
   100  2.693494e+03  3.333546e+03  +23.7629
   101  2.724719e+03  3.329961e+03  +22.2130
