# ell  Dl_LCDM  Dl_Khr_DBI  Dl_Khr_full  res_pureDBI  res_full
     2  4.68676763e+03  4.68676251e+03  4.68669045e+03  -1.09222954e-06  -1.64674608e-05
     3  4.62920852e+03  4.62920733e+03  4.62909826e+03  -2.55186973e-07  -2.38174508e-05
     4  4.57310917e+03  4.57310556e+03  4.57297956e+03  -7.89303191e-07  -2.83431600e-05
     5  4.52452158e+03  4.52451026e+03  4.52440443e+03  -2.50212599e-06  -2.58915646e-05
     6  4.48001160e+03  4.48000057e+03  4.47985483e+03  -2.46106385e-06  -3.49932517e-05
     7  4.43802740e+03  4.43801132e+03  4.43790703e+03  -3.62300426e-06  -2.71207747e-05
     8  4.39732599e+03  4.39730945e+03  4.39713077e+03  -3.76101112e-06  -4.43933633e-05
     9  4.35754252e+03  4.35753882e+03  4.35742623e+03  -8.47175977e-07  -2.66860433e-05
    10  4.31804742e+03  4.31805058e+03  4.31782047e+03  7.31435564e-07  -5.25588699e-05
    11  4.27877513e+03  4.27877431e+03  4.27866900e+03  -1.89809735e-07  -2.48018054e-05
    12  4.23943950e+03  4.23943342e+03  4.23916531e+03  -1.43387905e-06  -6.46754917e-05
    13  4.19985391e+03  4.19984532e+03  4.19976283e+03  -2.04412665e-06  -2.16855175e-05
    14  4.16023421e+03  4.16022430e+03  4.15991205e+03  -2.38106971e-06  -7.74365279e-05
    15  4.11992262e+03  4.11991179e+03  4.11983599e+03  -2.62837679e-06  -2.10270143e-05
    16  4.07986542e+03  4.07986179e+03  4.07949334e+03  -8.88749120e-07  -9.11993328e-05
    17  4.03857977e+03  4.03858541e+03  4.03849693e+03  1.39855011e-06  -2.05120682e-05
    18  3.99806364e+03  3.99806820e+03  3.99765332e+03  1.14033517e-06  -1.02630166e-04
    19  3.95571503e+03  3.95571815e+03  3.95561332e+03  7.88063750e-07  -2.57105798e-05
    20  3.91474332e+03  3.91474762e+03  3.91431220e+03  1.10016738e-06  -1.10126755e-04
    21  3.87133378e+03  3.87133615e+03  3.87118905e+03  6.11876998e-07  -3.73856846e-05
    22  3.82988673e+03  3.82988647e+03  3.82946981e+03  -6.77403374e-08  -1.08858722e-04
    23  3.78555449e+03  3.78555364e+03  3.78534421e+03  -2.24291905e-07  -5.55496284e-05
    24  3.74355361e+03  3.74355361e+03  3.74317276e+03  0.00000000e+00  -1.01735051e-04
    25  3.69853399e+03  3.69853599e+03  3.69821539e+03  5.40651935e-07  -8.61438749e-05
    26  3.65584497e+03  3.65584785e+03  3.65551995e+03  7.87629724e-07  -8.89037051e-05
    27  3.61040215e+03  3.61040602e+03  3.60995987e+03  1.07361603e-06  -1.22499589e-04
    28  3.56692498e+03  3.56692873e+03  3.56668226e+03  1.05047890e-06  -6.80476885e-05
    29  3.52125491e+03  3.52126026e+03  3.52069398e+03  1.52014775e-06  -1.59298817e-04
    30  3.47703937e+03  3.47704724e+03  3.47688058e+03  2.26276813e-06  -4.56667750e-05
    32  3.38645377e+03  3.38646189e+03  3.38637824e+03  2.39824084e-06  -2.23036398e-05
    34  3.29531177e+03  3.29531909e+03  3.29533679e+03  2.22184862e-06  7.59131613e-06
    36  3.20355100e+03  3.20354622e+03  3.20370125e+03  -1.49229056e-06  4.69005605e-05
    38  3.11097105e+03  3.11097674e+03  3.11120622e+03  1.83187682e-06  7.55954500e-05
    40  3.01753072e+03  3.01753534e+03  3.01761817e+03  1.53263100e-06  2.89806590e-05
    42  2.92383122e+03  2.92384603e+03  2.92332332e+03  5.06720178e-06  -1.73710011e-04
    44  2.83129794e+03  2.83131469e+03  2.82966247e+03  5.91624745e-06  -5.77640887e-04
    46  2.74146513e+03  2.74147372e+03  2.73844223e+03  3.13370012e-06  -1.10265810e-03
    48  2.65453176e+03  2.65453840e+03  2.65055372e+03  2.49858915e-06  -1.49858563e-03
    50  2.56854837e+03  2.56855556e+03  2.56465056e+03  2.79961228e-06  -1.51751711e-03
    52  2.48071631e+03  2.48072108e+03  2.47793381e+03  1.92246595e-06  -1.12165208e-03
    54  2.39055168e+03  2.39056005e+03  2.38922818e+03  3.50351331e-06  -5.53634728e-04
    56  2.30110408e+03  2.30111246e+03  2.30096128e+03  3.64504806e-06  -6.20547207e-05
    58  2.21510837e+03  2.21511429e+03  2.21610999e+03  2.67326230e-06  4.52177367e-04
    60  2.13008074e+03  2.13009387e+03  2.13267368e+03  6.16688471e-06  1.21729899e-03
    62  2.04114653e+03  2.04116168e+03  2.04484138e+03  7.42003942e-06  1.81018300e-03
    64  1.95103707e+03  1.95105013e+03  1.95331037e+03  6.69601892e-06  1.16517562e-03
    66  1.87096470e+03  1.87097491e+03  1.86940568e+03  5.45316233e-06  -8.33273500e-04
    68  1.80400538e+03  1.80401786e+03  1.79994201e+03  6.91768933e-06  -2.25241632e-03
    70  1.73551797e+03  1.73552227e+03  1.73294808e+03  2.47772912e-06  -1.48076433e-03
    72  1.65487805e+03  1.65488428e+03  1.65493481e+03  3.76577069e-06  3.42990466e-05
    74  1.57607482e+03  1.57607838e+03  1.57628540e+03  2.25688242e-06  1.33607439e-04
    76  1.51109982e+03  1.51110348e+03  1.51137108e+03  2.41996208e-06  1.79511546e-04
    78  1.44182861e+03  1.44183118e+03  1.44420735e+03  1.78038609e-06  1.64980162e-03
    80  1.36024576e+03  1.36024784e+03  1.36120314e+03  1.52658296e-06  7.03831074e-04
    82  1.29922141e+03  1.29922294e+03  1.29385006e+03  1.17508586e-06  -4.13428781e-03
    84  1.26288694e+03  1.26288683e+03  1.25732567e+03  -9.05871360e-08  -4.40362185e-03
