# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
7.42280266e-05 1.21278821e+12 4.99999987e-05 3.96806458e+12
7.45575152e-05 1.19659309e+12 5.02219422e-05 3.91507651e+12
7.48884663e-05 1.18061447e+12 5.04448709e-05 3.86279682e+12
7.52208865e-05 1.16484943e+12 5.06687891e-05 3.81121595e+12
7.55547822e-05 1.14929511e+12 5.08937013e-05 3.76032449e+12
7.58901601e-05 1.13394865e+12 5.11196118e-05 3.71011313e+12
7.62270266e-05 1.11880725e+12 5.13465251e-05 3.66057270e+12
7.65653885e-05 1.10386815e+12 5.15744457e-05 3.61169417e+12
7.69052523e-05 1.08912863e+12 5.18033779e-05 3.56346861e+12
7.72466247e-05 1.07458599e+12 5.20333264e-05 3.51588724e+12
7.75895124e-05 1.06023758e+12 5.22642956e-05 3.46894136e+12
7.79339222e-05 1.04608079e+12 5.24962900e-05 3.42262242e+12
7.82798607e-05 1.03211304e+12 5.27293142e-05 3.37692199e+12
7.86273348e-05 1.01833178e+12 5.29633727e-05 3.33183174e+12
7.89763513e-05 1.00473450e+12 5.31984703e-05 3.28734345e+12
7.93269171e-05 9.91318733e+11 5.34346114e-05 3.24344903e+12
7.96790390e-05 9.78082031e+11 5.36718007e-05 3.20014049e+12
8.00327239e-05 9.65021987e+11 5.39100428e-05 3.15740995e+12
8.03879787e-05 9.52136226e+11 5.41493425e-05 3.11524963e+12
8.07448105e-05 9.39422404e+11 5.43897044e-05 3.07365188e+12
8.11032262e-05 9.26878212e+11 5.46311332e-05 3.03260913e+12
8.14632329e-05 9.14501375e+11 5.48736337e-05 2.99211394e+12
8.18248376e-05 9.02289684e+11 5.51172106e-05 2.95215908e+12
8.21880474e-05 8.90240969e+11 5.53618687e-05 2.91273746e+12
8.25528695e-05 8.78353089e+11 5.56076129e-05 2.87384206e+12
8.29193109e-05 8.66623926e+11 5.58544478e-05 2.83546597e+12
8.32873790e-05 8.55051393e+11 5.61023785e-05 2.79760235e+12
8.36570808e-05 8.43633429e+11 5.63514096e-05 2.76024445e+12
8.40284237e-05 8.32367998e+11 5.66015462e-05 2.72338562e+12
8.44014149e-05 8.21253091e+11 5.68527931e-05 2.68701927e+12
8.47760619e-05 8.10286724e+11 5.71051553e-05 2.65113894e+12
8.51523718e-05 7.99466934e+11 5.73586376e-05 2.61573817e+12
8.55303521e-05 7.88791750e+11 5.76132452e-05 2.58081054e+12
8.59100102e-05 7.78259218e+11 5.78689829e-05 2.54634965e+12
8.62913535e-05 7.67867408e+11 5.81258558e-05 2.51234917e+12
8.66743896e-05 7.57614419e+11 5.83838689e-05 2.47880290e+12
8.70591260e-05 7.47498376e+11 5.86430273e-05 2.44570470e+12
8.74455701e-05 7.37517429e+11 5.89033360e-05 2.41304851e+12
8.78337296e-05 7.27669754e+11 5.91648003e-05 2.38082837e+12
8.82236122e-05 7.17953553e+11 5.94274251e-05 2.34903838e+12
8.86152253e-05 7.08367051e+11 5.96912158e-05 2.31767276e+12
8.90085768e-05 6.98908500e+11 5.99561773e-05 2.28672577e+12
8.94036743e-05 6.89576192e+11 6.02223150e-05 2.25619184e+12
8.98005255e-05 6.80368446e+11 6.04896340e-05 2.22606545e+12
9.01991384e-05 6.71283604e+11 6.07581396e-05 2.19634118e+12
9.05995206e-05 6.62320031e+11 6.10278371e-05 2.16701369e+12
9.10016801e-05 6.53476111e+11 6.12987317e-05 2.13807768e+12
9.14056248e-05 6.44750252e+11 6.15708288e-05 2.10952796e+12
9.18113624e-05 6.36140882e+11 6.18441337e-05 2.08135936e+12
9.22189011e-05 6.27646449e+11 6.21186518e-05 2.05356683e+12
9.26282489e-05 6.19265424e+11 6.23943884e-05 2.02614535e+12
9.30394136e-05 6.10996296e+11 6.26713490e-05 1.99908998e+12
9.34524035e-05 6.02837570e+11 6.29495390e-05 1.97239583e+12
9.38672265e-05 5.94787771e+11 6.32289638e-05 1.94605807e+12
9.42838909e-05 5.86845442e+11 6.35096289e-05 1.92007194e+12
9.47024049e-05 5.79009147e+11 6.37915399e-05 1.89443273e+12
9.51227765e-05 5.71277469e+11 6.40747023e-05 1.86913582e+12
9.55450142e-05 5.63649010e+11 6.43591215e-05 1.84417662e+12
9.59691261e-05 5.56122389e+11 6.46448033e-05 1.81955063e+12
9.63951205e-05 5.48696246e+11 6.49317532e-05 1.79525338e+12
9.68230059e-05 5.41369239e+11 6.52199768e-05 1.77128049e+12
