# ell  D_l_CLASS[muK2]  D_l_mlx[muK2]  residual_pct
     2  1.025544e+03  2.512657e+03  +0.0000
     3  9.707621e+02  3.674231e+03  +0.0000
     4  9.188057e+02  7.097945e+03  +0.0000
     5  8.798002e+02  1.544097e+04  +0.0000
     6  8.529453e+02  2.400493e+04  +0.0000
     7  8.357804e+02  2.852185e+04  +0.0000
     8  8.256582e+02  2.955868e+04  +0.0000
     9  8.208464e+02  2.907897e+04  +0.0000
    10  8.199420e+02  2.819345e+04  +0.0000
    11  8.220604e+02  2.726016e+04  +0.0000
    12  8.267913e+02  2.635516e+04  +0.0000
    13  8.332369e+02  2.548897e+04  +0.0000
    14  8.408156e+02  2.465976e+04  +0.0000
    15  8.497255e+02  2.386620e+04  +0.0000
    16  8.600199e+02  2.310440e+04  +0.0000
    17  8.707355e+02  2.237428e+04  +0.0000
    18  8.822169e+02  2.167165e+04  +0.0000
    19  8.945783e+02  2.099760e+04  +0.0000
    20  9.073059e+02  2.034730e+04  +0.0000
    21  9.205066e+02  1.972199e+04  +0.0000
    22  9.342382e+02  1.911816e+04  +0.0000
    23  9.484104e+02  1.853608e+04  +0.0000
    24  9.627608e+02  1.797358e+04  +0.0000
    25  9.774385e+02  1.743001e+04  +0.0000
    26  9.925817e+02  1.690471e+04  +0.0000
    27  1.008096e+03  1.639596e+04  +0.0000
    28  1.023755e+03  1.590426e+04  +0.0000
    29  1.039613e+03  1.542636e+04  +0.0000
    30  1.055731e+03  1.496503e+04  +0.0000
    31  1.072094e+03  1.451698e+04  +1254.0769
    32  1.088717e+03  1.408161e+04  +1193.4137
    33  1.105560e+03  1.365940e+04  +1135.5188
    34  1.122540e+03  1.324982e+04  +1080.3432
    35  1.139708e+03  1.285213e+04  +1027.6692
    36  1.157124e+03  1.246581e+04  +977.3092
    37  1.174809e+03  1.209045e+04  +929.1418
    38  1.192765e+03  1.172607e+04  +883.0998
    39  1.210951e+03  1.137265e+04  +839.1501
    40  1.229275e+03  1.102980e+04  +797.2610
    41  1.247630e+03  1.069708e+04  +757.3922
    42  1.266059e+03  1.037425e+04  +719.4126
    43  1.284639e+03  1.006118e+04  +683.1917
    44  1.303428e+03  9.757984e+03  +648.6399
    45  1.322471e+03  9.464802e+03  +615.6907
    46  1.341777e+03  9.181703e+03  +584.2940
    47  1.361333e+03  8.908510e+03  +554.3961
    48  1.381098e+03  8.644148e+03  +525.8897
    49  1.401005e+03  8.387552e+03  +498.6810
    50  1.420989e+03  8.138602e+03  +472.7421
    51  1.441072e+03  7.897656e+03  +448.0402
    52  1.461299e+03  7.666050e+03  +424.6052
    53  1.481707e+03  7.444639e+03  +402.4366
    54  1.502329e+03  7.231372e+03  +381.3442
    55  1.523186e+03  7.024085e+03  +361.1443
    56  1.544291e+03  6.823084e+03  +341.8263
    57  1.565646e+03  6.629477e+03  +323.4339
    58  1.587242e+03  6.445120e+03  +306.0577
    59  1.609060e+03  6.270973e+03  +289.7290
    60  1.631068e+03  6.103655e+03  +274.2122
    61  1.653236e+03  5.940617e+03  +259.3326
    62  1.675575e+03  5.786972e+03  +245.3723
    63  1.698102e+03  5.646768e+03  +232.5340
    64  1.720833e+03  5.512105e+03  +220.3160
    65  1.743779e+03  5.375532e+03  +208.2692
    66  1.766944e+03  5.243311e+03  +196.7447
    67  1.790330e+03  5.122504e+03  +186.1207
    68  1.813936e+03  5.009637e+03  +176.1750
    69  1.837771e+03  4.900018e+03  +166.6283
    70  1.861847e+03  4.794628e+03  +157.5200
    71  1.886168e+03  4.695672e+03  +148.9531
    72  1.910737e+03  4.604596e+03  +140.9853
    73  1.935555e+03  4.521807e+03  +133.6182
    74  1.960614e+03  4.444323e+03  +126.6802
    75  1.985906e+03  4.369282e+03  +120.0146
    76  2.011420e+03  4.297689e+03  +113.6644
    77  2.037162e+03  4.231048e+03  +107.6933
    78  2.063137e+03  4.169002e+03  +102.0710
    79  2.089351e+03  4.110672e+03  +96.7439
