# ell  Dl_CLASS  Dl_mlx_final  residual_pct
    30  1.055731e+03  1.418361e+03  +34.3487
    31  1.072094e+03  1.424768e+03  +32.8958
    32  1.088717e+03  1.430565e+03  +31.3992
    33  1.105560e+03  1.436673e+03  +29.9497
    34  1.122540e+03  1.442992e+03  +28.5471
    35  1.139708e+03  1.449252e+03  +27.1600
    36  1.157124e+03  1.455519e+03  +25.7877
    37  1.174809e+03  1.461936e+03  +24.4403
    38  1.192765e+03  1.468615e+03  +23.1269
    39  1.210951e+03  1.475622e+03  +21.8564
    40  1.229275e+03  1.482867e+03  +20.6295
    41  1.247630e+03  1.490238e+03  +19.4456
    42  1.266059e+03  1.497702e+03  +18.2963
    43  1.284639e+03  1.505304e+03  +17.1772
    44  1.303428e+03  1.513329e+03  +16.1038
    45  1.322471e+03  1.522064e+03  +15.0925
    46  1.341777e+03  1.531554e+03  +14.1437
    47  1.361333e+03  1.541611e+03  +13.2427
    48  1.381098e+03  1.551350e+03  +12.3273
    49  1.401005e+03  1.560046e+03  +11.3519
    50  1.420989e+03  1.568297e+03  +10.3666
    51  1.441072e+03  1.576999e+03  +9.4323
    52  1.461299e+03  1.586895e+03  +8.5948
    53  1.481707e+03  1.598166e+03  +7.8598
    54  1.502329e+03  1.608892e+03  +7.0933
    55  1.523186e+03  1.617510e+03  +6.1925
    56  1.544291e+03  1.625992e+03  +5.2905
    57  1.565646e+03  1.636577e+03  +4.5304
    58  1.587242e+03  1.649026e+03  +3.8925
    59  1.609060e+03  1.662250e+03  +3.3057
    60  1.631068e+03  1.674245e+03  +2.6471
    61  1.653236e+03  1.684246e+03  +1.8757
    62  1.675575e+03  1.697374e+03  +1.3010
    63  1.698102e+03  1.717069e+03  +1.1170
    64  1.720833e+03  1.734171e+03  +0.7751
    65  1.743779e+03  1.740540e+03  -0.1857
    66  1.766944e+03  1.744721e+03  -1.2577
    67  1.790330e+03  1.756193e+03  -1.9067
    68  1.813936e+03  1.771485e+03  -2.3402
    69  1.837771e+03  1.785387e+03  -2.8504
    70  1.861847e+03  1.798662e+03  -3.3937
    71  1.886168e+03  1.813067e+03  -3.8756
    72  1.910737e+03  1.828347e+03  -4.3120
    73  1.935555e+03  1.843885e+03  -4.7361
    74  1.960614e+03  1.859627e+03  -5.1508
    75  1.985906e+03  1.875368e+03  -5.5661
    76  2.011420e+03  1.889732e+03  -6.0498
    77  2.037162e+03  1.901783e+03  -6.6455
    78  2.063137e+03  1.913514e+03  -7.2522
    79  2.089351e+03  1.926874e+03  -7.7764
    80  2.115805e+03  1.940695e+03  -8.2763
    81  2.142499e+03  1.953965e+03  -8.7997
    82  2.169430e+03  1.969404e+03  -9.2202
    83  2.196591e+03  1.989276e+03  -9.4380
    84  2.223977e+03  2.010267e+03  -9.6093
    85  2.251590e+03  2.028499e+03  -9.9082
    86  2.279437e+03  2.043418e+03  -10.3543
    87  2.307520e+03  2.055780e+03  -10.9095
    88  2.335842e+03  2.068262e+03  -11.4554
    89  2.364401e+03  2.083104e+03  -11.8972
    90  2.393196e+03  2.098888e+03  -12.2977
    91  2.422224e+03  2.114111e+03  -12.7203
    92  2.451478e+03  2.130576e+03  -13.0901
    93  2.480953e+03  2.150177e+03  -13.3326
    94  2.510650e+03  2.171838e+03  -13.4950
    95  2.540570e+03  2.193264e+03  -13.6704
    96  2.570714e+03  2.210227e+03  -14.0228
    97  2.601081e+03  2.220224e+03  -14.6423
    98  2.631670e+03  2.229575e+03  -15.2791
    99  2.662476e+03  2.244989e+03  -15.6804
   100  2.693494e+03  2.265893e+03  -15.8753
   101  2.724719e+03  2.289916e+03  -15.9577
   102  2.756143e+03  2.314771e+03  -16.0141
   103  2.787756e+03  2.338193e+03  -16.1263
   104  2.819549e+03  2.357918e+03  -16.3725
   105  2.851520e+03  2.372611e+03  -16.7949
   106  2.883669e+03  2.384669e+03  -17.3043
   107  2.915992e+03  2.397417e+03  -17.7838
   108  2.948488e+03  2.414185e+03  -18.1213
   109  2.981153e+03  2.437164e+03  -18.2476
   110  3.013983e+03  2.464018e+03  -18.2471
   111  3.046972e+03  2.491274e+03  -18.2377
   112  3.080114e+03  2.515461e+03  -18.3322
   113  3.113402e+03  2.534208e+03  -18.6033
   114  3.146826e+03  2.549547e+03  -18.9804
   115  3.180378e+03  2.564613e+03  -19.3614
   116  3.214049e+03  2.582541e+03  -19.6484
   117  3.247833e+03  2.605535e+03  -19.7762
   118  3.281726e+03  2.632093e+03  -19.7954
   119  3.315723e+03  2.659785e+03  -19.7827
   120  3.349820e+03  2.686179e+03  -19.8112
   121  3.384009e+03  2.709509e+03  -19.9320
   122  3.418284e+03  2.730664e+03  -20.1160
   123  3.452637e+03  2.751195e+03  -20.3161
   124  3.487061e+03  2.772657e+03  -20.4873
   125  3.521545e+03  2.796309e+03  -20.5943
   126  3.556081e+03  2.822243e+03  -20.6361
   127  3.590656e+03  2.850259e+03  -20.6201
   128  3.625261e+03  2.880156e+03  -20.5532
   129  3.659884e+03  2.911472e+03  -20.4491
   130  3.694518e+03  2.942694e+03  -20.3497
   131  3.729157e+03  2.972049e+03  -20.3024
   132  3.763793e+03  2.997764e+03  -20.3526
   133  3.798421e+03  3.018904e+03  -20.5221
   134  3.833033e+03  3.037899e+03  -20.7442
   135  3.867619e+03  3.058018e+03  -20.9328
   136  3.902174e+03  3.082532e+03  -21.0047
   137  3.936686e+03  3.113727e+03  -20.9049
   138  3.971146e+03  3.149962e+03  -20.6788
   139  4.005546e+03  3.188613e+03  -20.3950
   140  4.039873e+03  3.227056e+03  -20.1199
   141  4.074118e+03  3.263083e+03  -19.9070
   142  4.108268e+03  3.296159e+03  -19.7677
   143  4.142311e+03  3.326165e+03  -19.7027
   144  4.176235e+03  3.352982e+03  -19.7128
   145  4.210033e+03  3.376988e+03  -19.7871
   146  4.243696e+03  3.400549e+03  -19.8682
   147  4.277217e+03  3.426530e+03  -19.8888
   148  4.310586e+03  3.457793e+03  -19.7837
   149  4.343797e+03  3.496178e+03  -19.5133
   150  4.376840e+03  3.539426e+03  -19.1328
   151  4.409705e+03  3.584254e+03  -18.7190
   152  4.442384e+03  3.627377e+03  -18.3462
   153  4.474866e+03  3.666176e+03  -18.0718
   154  4.507142e+03  3.700685e+03  -17.8929
   155  4.539201e+03  3.731605e+03  -17.7916
