rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
1,mp-1205815,Eu2H6Ir,Fm-3m,275.1,1.800,hydride heuristic (H_count=6),31.23,0.0,0.095467,0.381868,4,phonon+spin+topological+orbital,10,0.0,
2,mp-1201730,Er3Al2Ni6H7,Im-3m,277.5,1.900,hydride heuristic (H_count=7),33.16,0.0,0.102250,0.306750,3,phonon+spin+orbital,10,0.0,
3,mp-570653,LaFe5H12,P6/mmm,249.5,2.400,hydride heuristic (H_count=12),36.35,0.0,0.100787,0.302360,3,phonon+spin+orbital,9,0.0,
4,mp-1207411,Zr6Ga2NiH10,P-62c,255.0,2.200,hydride heuristic (H_count=10),34.64,0.0,0.098131,0.294394,3,phonon+spin+orbital,9,0.0,
5,mp-1207506,Zr6Ga2FeH10,P-62c,254.7,2.200,hydride heuristic (H_count=10),34.60,0.0,0.097908,0.293724,3,phonon+spin+orbital,9,0.0,
6,mp-24672,Zr6Ni(SnH5)2,P-62c,261.0,1.500,hydride heuristic (H_count=5),24.42,0.0,0.070813,0.283254,4,phonon+spin+topological+orbital,13,0.0,
7,mp-1207523,Zr6Fe(SnH5)2,P-62c,260.5,1.500,hydride heuristic (H_count=5),24.37,0.0,0.070535,0.282140,4,phonon+spin+topological+orbital,13,0.0,
8,mp-1178617,Zr4Ni2H9,P-1,253.5,2.100,hydride heuristic (H_count=9),33.12,0.0,0.093302,0.279905,3,phonon+spin+orbital,10,0.0,
9,mp-23671,LaNi5H7,P6_3mc,263.8,1.900,hydride heuristic (H_count=7),31.52,0.0,0.092407,0.277221,3,phonon+spin+orbital,10,0.0,
10,mp-1192500,LaNi5H7,P31c,261.9,1.900,hydride heuristic (H_count=7),31.29,0.0,0.091069,0.273207,3,phonon+spin+orbital,10,0.0,
11,mp-1222987,LaNi5H6,P3m1,266.8,1.800,hydride heuristic (H_count=6),30.28,0.0,0.089745,0.269234,3,phonon+spin+orbital,10,0.0,
12,mp-1196871,KCu24Ag9H48Pb26(Cl31O24)2,Pm-3m,235.3,2.400,hydride heuristic (H_count=48),34.28,0.0,0.089601,0.268804,3,phonon+spin+topological,9,0.0,
13,mp-1222892,LaNi5H6,P6mm,266.0,1.800,hydride heuristic (H_count=6),30.19,0.0,0.089211,0.267632,3,phonon+spin+orbital,10,0.0,
14,mp-1196234,Fe3H16C4(SeN)4,C2/c,200.9,2.400,hydride heuristic (H_count=16),29.27,0.0,0.065329,0.261317,4,phonon+spin+topological+orbital,11,0.0,
15,mp-1194198,LaFe5H7,Cccm,255.1,1.900,hydride heuristic (H_count=7),30.48,0.0,0.086418,0.259253,3,phonon+spin+orbital,10,0.0,
16,mp-570943,LaFe5H7,P6_3mc,254.5,1.900,hydride heuristic (H_count=7),30.41,0.0,0.086017,0.258050,3,phonon+spin+orbital,10,0.0,
17,mp-1104718,NdMgNi4H7,F-43m,253.0,1.900,hydride heuristic (H_count=7),30.22,0.0,0.084953,0.254858,3,phonon+spin+orbital,10,0.0,
18,mp-634945,Eu2H6Ru,Fm-3m,259.1,1.800,hydride heuristic (H_count=6),29.41,0.0,0.084680,0.254039,3,phonon+spin+orbital,11,0.0,
19,mp-1079126,Eu2FeH6,Fm-3m,256.4,1.800,hydride heuristic (H_count=6),29.11,0.0,0.082933,0.248799,3,phonon+spin+orbital,11,0.0,
