channel,p,state,D_before,D_after,Delta_D,exp_bound,F_J_petz,f_petz,F_J_identity,f_identity,tau,tau_bound,tau_identity,bound_holds,gap_FJ,gap_tau
Dephasing,0.01,|0>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.01,|1>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.01,|+>,0.6931471805589462,5.0000833366635515e-05,0.6930971797255796,0.5000250010422141,0.5000499999999998,0.7071421356417674,0.5049999999999998,0.7106335201775946,0.2928578643582326,0.29287554062794985,0.2893664798224054,True,2.4998957785626885e-05,1.7676269717270543e-05
Dephasing,0.01,|->,0.6931471805589453,5.000083336669162e-05,0.6930971797255786,0.5000250010422146,0.5000499999999998,0.7071421356417674,0.5049999999999998,0.7106335201775946,0.2928578643582326,0.2928755406279495,0.2893664798224054,True,2.4998957785182796e-05,1.7676269716937476e-05
Dephasing,0.01,|i+>,0.6931471805589453,5.000083336669162e-05,0.6930971797255786,0.5000250010422146,0.5000499999999998,0.7071421356417674,0.5049999999999998,0.7106335201775946,0.2928578643582326,0.2928755406279495,0.2893664798224054,True,2.4998957785182796e-05,1.7676269716937476e-05
Dephasing,0.01,|i->,0.6931471805589453,5.000083336669162e-05,0.6930971797255786,0.5000250010422146,0.5000499999999998,0.7071421356417674,0.5049999999999998,0.7106335201775946,0.2928578643582326,0.2928755406279495,0.2893664798224054,True,2.4998957785182796e-05,1.7676269716937476e-05
Dephasing,0.01,random_pure_0,0.6931471805589438,0.16412437585094564,0.5290228047079981,0.5891804328077112,0.6549269425687981,0.8092755665215638,0.658343507712347,0.8113836994371695,0.19072443347843615,0.23241910341143124,0.18861630056283052,True,0.06574650976108698,0.04169466993299509
Dephasing,0.01,random_pure_1,0.6931471805589453,0.19050078622949276,0.5026463943294526,0.604927662431125,0.6780557483511698,0.8234414055360404,0.6812433011917893,0.8253746429299784,0.1765585944639596,0.22222904243529062,0.17462535707002158,True,0.07312808592004483,0.04567044797133102
Dephasing,0.01,random_pure_2,0.6931471805589409,0.0032870463433692584,0.6898601342155716,0.5016462273026601,0.5032834567525232,0.7094247364960734,0.5082014477204508,0.7128824922246659,0.2905752635039266,0.2917301169027021,0.28711750777533407,True,0.001637229449863109,0.0011548533987755238
Dephasing,0.01,random_pure_3,0.6931471805589462,0.009121657441666695,0.6840255231172795,0.5045816932714656,0.5090938886473313,0.7135081559781439,0.5139543451953776,0.7169060923129177,0.2864918440218561,0.28966086038324934,0.2830939076870823,True,0.0045121953758656685,0.0031690163613932176
Dephasing,0.01,random_pure_4,0.6931471805589462,0.0019497225070667125,0.6911974580518795,0.5009758122264412,0.5019484615712901,0.7084832119191605,0.506879669119096,0.7119548223862916,0.2915167880808395,0.2922035516997551,0.2880451776137084,True,0.0009726493448489748,0.0006867636189156201
Dephasing,0.01,random_pure_5,0.6931471805589435,0.00019382981745474578,0.6929533507414888,0.5000969243023348,0.5001938172937985,0.7072438174305934,0.5051423933601966,0.7107337007348087,0.2927561825694066,0.29282468630308167,0.2892662992651913,True,9.689299146375951e-05,6.850373367506268e-05
Dephasing,0.01,random_pure_6,0.6931471805589442,0.3988708303563586,0.2942763502025856,0.7450705625894468,0.8420262973670154,0.9176199089857496,0.8435903934326883,0.9184717706237292,0.08238009101425037,0.13682530007567595,0.0815282293762708,True,0.09695573477756858,0.05444520906142558
Dephasing,0.01,random_pure_7,0.6931471805589446,0.23646720177612568,0.45667997878281896,0.6333830036324732,0.7171389840846641,0.8468405895354002,0.7199395861416218,0.8484925374696125,0.1531594104645998,0.20414636795923757,0.1515074625303875,True,0.0837559804521909,0.050986957494637775
Dephasing,0.01,random_pure_8,0.6931471805589458,0.18463709493339786,0.5085100856255479,0.6013909326415746,0.6729577973464727,0.8203400498247496,0.6761958441834617,0.8223112818048052,0.17965995017525038,0.22450600734655934,0.17768871819519483,True,0.07156686470489804,0.04484605717130896
Dephasing,0.01,random_pure_9,0.6931471805589453,0.06793234566338521,0.6252148348955601,0.5351464480372492,0.5663795502684508,0.7525819226293247,0.5706728220479712,0.7554288993995207,0.24741807737067534,0.2684629551162503,0.24457110060047926,True,0.03123310223120157,0.021044877745574952
Dephasing,0.01,random_mixed_0,0.08698988847248912,0.0019298271883388812,0.08506006128415024,0.9184571190308165,0.9568831787079414,0.9782040578059066,0.9576963214611385,0.9786195999780193,0.02179594219409342,0.041638315127938474,0.021380400021980717,True,0.03842605967712487,0.019842372933845054
Dephasing,0.01,random_mixed_1,0.07622498786895196,0.022140977352237634,0.054084010516714326,0.9473525155842633,0.9731001993952563,0.9864584124002675,0.9736154599852109,0.9867195447467385,0.013541587599732452,0.026679643907380757,0.013280455253261492,True,0.025747683810993016,0.013138056307648305
