channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Amplitude Damping,|0>,0.2,0.0,0.2231435513142097,0.2231435513142097,0.0,1.0,1.0,0.0,0.0,0.0,True
Amplitude Damping,|0>,0.2,0.05,0.2231435513142097,0.21072103131565253,0.012422519998557174,0.9876543209876543,0.9938079899999065,0.012345679012345734,0.006192010000093506,-0.0061536690122522275,False
Amplitude Damping,|0>,0.2,0.1,0.2231435513142097,0.19845093872383818,0.024692612590371532,0.975609756097561,0.9877295966495896,0.024390243902439046,0.012270403350410408,-0.012119840552028638,False
Amplitude Damping,|0>,0.2,0.15,0.2231435513142097,0.18632957819149337,0.03681397312271634,0.9638554216867471,0.981761387347632,0.036144578313252906,0.018238612652368036,-0.01790596566088487,False
Amplitude Damping,|0>,0.2,0.2,0.2231435513142097,0.17435338714477766,0.04879016416943205,0.9523809523809524,0.9759000729485332,0.04761904761904756,0.024099927051466796,-0.023519120567580765,False
Amplitude Damping,|0>,0.2,0.25,0.2231435513142097,0.1625189294977748,0.06062462181643491,0.9411764705882353,0.9701425001453319,0.05882352941176472,0.029857499854668124,-0.028966029557096595,False
Amplitude Damping,|0>,0.2,0.3,0.2231435513142097,0.15082288973458352,0.07232066157962619,0.930232558139535,0.9644856443408242,0.06976744186046502,0.03551435565917582,-0.034253086201289196,False
Amplitude Damping,|0>,0.2,0.35,0.2231435513142097,0.13926206733350752,0.08388148398070219,0.9195402298850575,0.9589266029707683,0.08045977011494254,0.04107339702923174,-0.0393863730857108,False
Amplitude Damping,|0>,0.2,0.4,0.2231435513142097,0.12783337150988477,0.09531017980432493,0.9090909090909092,0.9534625892455922,0.09090909090909083,0.04653741075440776,-0.04437168015468307,False
Amplitude Damping,|0>,0.2,0.45,0.2231435513142097,0.11653381625595151,0.1066097350582582,0.8988764044943821,0.9480909262799545,0.10112359550561789,0.051909073720045495,-0.049214521785572396,False
Amplitude Damping,|0>,0.2,0.5,0.2231435513142097,0.10536051565782628,0.11778303565638343,0.8888888888888888,0.9428090415820634,0.11111111111111116,0.057190958417936644,-0.05392015269317452,False
Amplitude Damping,|0>,0.2,0.55,0.2231435513142097,0.09431067947124129,0.12883287184296843,0.8791208791208791,0.9376144618769908,0.1208791208791209,0.06238553812300918,-0.05849358275611172,False
Amplitude Damping,|0>,0.2,0.6,0.2231435513142097,0.08338160893905101,0.1397619423751587,0.8695652173913044,0.9325048082403138,0.13043478260869557,0.06749519175968621,-0.06293959084900935,False
Amplitude Damping,|0>,0.2,0.65,0.2231435513142097,0.07257069283483537,0.15057285847937435,0.860215053763441,0.9274777915203365,0.13978494623655902,0.07252220847966351,-0.06726273775689551,False
Amplitude Damping,|0>,0.2,0.7,0.2231435513142097,0.06187540371808741,0.1612681475961223,0.851063829787234,0.9225312080288851,0.14893617021276595,0.07746879197111489,-0.07146737824165106,False
Amplitude Damping,|0>,0.2,0.75,0.2231435513142097,0.05129329438755046,0.17185025692665926,0.8421052631578948,0.9176629354822471,0.1578947368421052,0.08233706451775291,-0.07555767232435229,False
Amplitude Damping,|0>,0.2,0.8,0.2231435513142097,0.04082199452025505,0.18232155679395468,0.8333333333333334,0.9128709291752768,0.16666666666666663,0.08712907082472321,-0.07953759584194342,False
Amplitude Damping,|0>,0.2,0.85,0.2231435513142097,0.03045920748470846,0.19268434382950125,0.8247422680412372,0.9081532183729996,0.17525773195876282,0.09184678162700044,-0.08341095033176238,False
Amplitude Damping,|0>,0.2,0.9,0.2231435513142097,0.020202707317519355,0.20294084399669035,0.816326530612245,0.9035079029052512,0.18367346938775497,0.09649209709474882,-0.08718137229300615,False
Amplitude Damping,|0>,0.2,0.95,0.2231435513142097,0.01005033585350145,0.21309321546070825,0.8080808080808082,0.8989331499509895,0.19191919191919182,0.1010668500490105,-0.09085234187018132,False
Amplitude Damping,|0>,0.2,1.0,0.2231435513142097,0.0,0.2231435513142097,0.7999999999999999,0.8944271909999159,0.20000000000000007,0.10557280900008414,-0.09442719099991592,False
Amplitude Damping,|1>,0.2,0.0,1.6094379124341003,1.6094379124341003,0.0,1.0,1.0,0.0,0.0,0.0,True
Amplitude Damping,|1>,0.2,0.05,1.6094379124341003,1.3897154547004789,0.21972245773362142,0.9506172839506173,0.8959584598407624,0.04938271604938271,0.10404154015923761,0.0546588241098549,True
Amplitude Damping,|1>,0.2,0.1,1.6094379124341003,1.2380807057636694,0.37135720667043093,0.9024390243902438,0.8305404850327073,0.09756097560975618,0.16945951496729272,0.07189853935753654,True
Amplitude Damping,|1>,0.2,0.15,1.6094379124341003,1.1114036645648269,0.4980342478692734,0.855421686746988,0.7795666240224892,0.14457831325301196,0.22043337597751078,0.07585506272449882,True
Amplitude Damping,|1>,0.2,0.2,1.6094379124341003,1.0005334248894155,0.6089044875446847,0.8095238095238093,0.7375272489127968,0.1904761904761907,0.26247275108720325,0.07199656061101256,True
Amplitude Damping,|1>,0.2,0.25,1.6094379124341003,0.9011345764200465,0.7083033360140538,0.7647058823529412,0.7017685234501847,0.23529411764705876,0.2982314765498153,0.06293735890275653,True
Amplitude Damping,|1>,0.2,0.3,1.6094379124341003,0.8106615643264647,0.7987763481076355,0.7209302325581395,0.6707302907184233,0.2790697674418605,0.32926970928157673,0.05019994183971621,True
Amplitude Damping,|1>,0.2,0.35,1.6094379124341003,0.7274386230743556,0.8819992893597447,0.67816091954023,0.6433929351833755,0.32183908045977005,0.3566070648166245,0.034767984356854464,True
Amplitude Damping,|1>,0.2,0.4,1.6094379124341003,0.6502798033147523,0.959158109119348,0.6363636363636362,0.6190439206838456,0.36363636363636376,0.3809560793161544,0.017319715679790626,True
Amplitude Damping,|1>,0.2,0.45,1.6094379124341003,0.5783026058559362,1.031135306578164,0.595505617977528,0.5971615176886462,0.404494382022472,0.4028384823113538,-0.001655899711118236,False
Amplitude Damping,|1>,0.2,0.5,1.6094379124341003,0.5108256237659905,1.0986122886681098,0.5555555555555556,0.5773502691896257,0.4444444444444444,0.42264973081037427,-0.02179471363407015,False
Amplitude Damping,|1>,0.2,0.55,1.6094379124341003,0.4473075838889365,1.1621303285451638,0.5164835164835165,0.5593023003396403,0.48351648351648346,0.44069769966035965,-0.04281878385612381,False
Amplitude Damping,|1>,0.2,0.6,1.6094379124341003,0.38730875607747633,1.222129156356624,0.4782608695652174,0.5427727373839083,0.5217391304347826,0.4572272626160917,-0.0645118678186909,False
Amplitude Damping,|1>,0.2,0.65,1.6094379124341003,0.33046532423448277,1.2789725881996175,0.4408602150537634,0.5275633668589088,0.5591397849462366,0.4724366331410912,-0.08670315180514543,False
Amplitude Damping,|1>,0.2,0.7,1.6094379124341003,0.2764716955757786,1.3329662168583216,0.40425531914893614,0.5135113696240385,0.5957446808510638,0.48648863037596146,-0.1092560504751024,False
Amplitude Damping,|1>,0.2,0.75,1.6094379124341003,0.2250678945603524,1.384370017873748,0.36842105263157904,0.5004813173293411,0.631578947368421,0.4995186826706589,-0.13206026469776205,False
Amplitude Damping,|1>,0.2,0.8,1.6094379124341003,0.1760303370516561,1.4334075753824442,0.3333333333333333,0.4883593419305869,0.6666666666666667,0.5116406580694131,-0.15502600859725357,False
