channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Phase Damping,|0>,0.2,0.0,0.9162907318741548,0.9162907318741549,0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|0>,0.2,0.05,0.9162907318741548,0.8895944060271012,0.026696325847053615,0.98682843553006,0.9867405287410262,0.013171564469939945,0.013259471258973754,8.790678903380922e-05,True
Phase Damping,|0>,0.2,0.1,0.9162907318741548,0.8655203670966742,0.05077036477748054,0.9752484565217575,0.974934312168525,0.024751543478242488,0.025065687831475003,0.000314144353232515,True
Phase Damping,|0>,0.2,0.15,0.9162907318741548,0.843767299085261,0.07252343278889373,0.9650219764406625,0.9643878643374383,0.034978023559337545,0.03561213566256172,0.0006341121032241714,True
Phase Damping,|0>,0.2,0.2,0.9162907318741548,0.8240893703752653,0.09220136149888947,0.9559607525875532,0.9549458126904932,0.0440392474124468,0.04505418730950683,0.0010149398970600298,True
Phase Damping,|0>,0.2,0.25,0.9162907318741548,0.806283902721514,0.11000682915264082,0.9479140087646837,0.9464819161132277,0.05208599123531632,0.05351808388677226,0.0014320926514559407,True
Phase Damping,|0>,0.2,0.3,0.9162907318741548,0.7901823324741964,0.12610839939995833,0.94075964272126,0.9388925846136607,0.05924035727874,0.06110741538633935,0.0018670581075993509,True
Phase Damping,|0>,0.2,0.35,0.9162907318741548,0.7756434678960351,0.14064726397811966,0.934397856599384,0.9320921162625334,0.06560214340061599,0.06790788373746659,0.0023057403368506035,True
Phase Damping,|0>,0.2,0.4,0.9162907318741548,0.7625483820001746,0.15374234987398017,0.9287464628562722,0.9260091391085427,0.07125353714372784,0.07399086089145734,0.002737323747729503,True
Phase Damping,|0>,0.2,0.45,0.9162907318741548,0.7507964927416767,0.16549423913247807,0.9237373726902979,0.9205839154474709,0.07626262730970212,0.07941608455252913,0.003153457242827007,True
Phase Damping,|0>,0.2,0.5,0.9162907318741548,0.7403025202955656,0.17598821157858913,0.9193139346887674,0.9157662744267964,0.08068606531123257,0.08423372557320363,0.003547660261971064,True
Phase Damping,|0>,0.2,0.55,0.9162907318741548,0.7309941027445455,0.1852966291296093,0.915428895336064,0.911514010134857,0.08457110466393603,0.088485989865143,0.003914885201206975,True
Phase Damping,|0>,0.2,0.6,0.9162907318741548,0.7228099136023525,0.1934808182718023,0.9120428217151647,0.9077916299626965,0.08795717828483529,0.09220837003730353,0.004251191752468242,True
Phase Damping,|0>,0.2,0.65,0.9162907318741548,0.7156981675161552,0.20059256435799955,0.9091228730640085,0.9045693705449116,0.09087712693599148,0.0954306294550884,0.004553502519096919,True
Phase Damping,|0>,0.2,0.7,0.9162907318741548,0.7096154306830775,0.20667530119107724,0.9066418396811224,0.9018224211906937,0.09335816031887756,0.09817757880930633,0.004819418490428773,True
