eps,p,tau_petz,tau_optimal,tau_JRSWW,F_petz,Sigma
0.2,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999996,0
0.2,0.05,0.0288846096874541,0.025000000000000244,0.0322692183379778,0.9711153903125459,0.06560269701064333
0.2,0.1,0.05364201016374981,0.05000000000000038,0.04871277239625349,0.9463579898362502,0.09987847022944817
0.2,0.15,0.07501013650493349,0.07500000000000029,0.06015518683321808,0.9249898634950665,0.12408101944619551
0.2,0.2,0.09355509355509384,0.10000000000000031,0.06878238729987118,0.9064449064449062,0.14252457640346738
0.2,0.25,0.10971786833855846,0.12500000000000044,0.07556959488895099,0.8902821316614415,0.1571550187946715
0.2,0.3,0.12384652744050562,0.15000000000000036,0.0810534887750558,0.8761534725594944,0.16905472311519834
0.2,0.35,0.13621889373746932,0.1750000000000005,0.08556443492997268,0.8637811062625307,0.17889654564873364
0.2,0.4,0.14705882352941213,0.2000000000000004,0.08932078409901578,0.8529411764705879,0.18712913356513716
0.2,0.45,0.15654808663449704,0.22500000000000042,0.09247414203084947,0.843451913365503,0.19406643923829814
0.2,0.5,0.16483516483516503,0.25000000000000033,0.09513361663177,0.835164835164835,0.199935977739008
0.2,0.55,0.17204185093301738,0.27500000000000024,0.09737985507010039,0.8279581490669826,0.20490694611865
0.2,0.6,0.178268251273345,0.30000000000000016,0.09927365614183359,0.821731748726655,0.20910758483049177
0.2,0.65,0.18359661052411347,0.32500000000000007,0.1008614958919043,0.8164033894758865,0.2126363834817701
0.2,0.7,0.18809425382389466,0.3500000000000001,0.10217919817175636,0.8119057461761053,0.21556956624597637
0.2,0.75,0.1918158567774939,0.3750000000000002,0.10325443854082694,0.8081841432225061,0.21796622433505525
0.2,0.8,0.1948051948051951,0.40000000000000013,0.10410848484352053,0.8051948051948049,0.219871900343769
0.2,0.85,0.19709648150015158,0.42500000000000027,0.1047574197301635,0.8029035184998484,0.22132111604837545
0.2,0.9,0.1987153753512647,0.4500000000000002,0.1052129984551664,0.8012846246487353,0.22233915226290035
0.2,0.95,0.19967971174056698,0.4750000000000003,0.10548323937919912,0.800320288259433,0.22294327758091875
0.2,1.0,0.2000000000000004,0.5000000000000002,0.10557280900008403,0.7999999999999996,0.22314355131420963
0.5,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999996,0.0
0.5,0.05,0.04875000000000007,0.025000000000000244,0.056777829644035216,0.9512499999999999,0.11690684913753069
